hebrew,english,first_unit,units_seen,occurrences,example_phrase
עשויים,likely / might,39,1,1,אנחנו עשויים לישון ביום שבת.
לישון,sleep / sleeping / to sleep,39,1,1,אנחנו עשויים לישון ביום שבת.
העט,the pen,40,2,2,העט הזה לא עובד!
הראשון,first / the first,40,2,2,אני עדיין קוראת את הפרק הראשון.
אילו,if / what / which,40,1,1,אילו קורסים יש לכם?
קורסים,courses,40,1,1,אילו קורסים יש לכם?
קוראת,is reading / read / reading,40,1,1,אני עדיין קוראת את הפרק הראשון.
הפרק,the chapter / the episode,40,1,1,אני עדיין קוראת את הפרק הראשון.
משמעויות,meanings,40,1,1,כמה משמעויות יש למילה הזאת?
למילה,to the word,40,1,1,כמה משמעויות יש למילה הזאת?
ההסבר,the explanation,40,1,1,תודה על ההסבר.
מתי,when,41,3,4,"סליחה, מתי מגיע האוטובוס הבא?"
מגיע,arrive / arrives / is arriving / is coming,41,2,2,"סליחה, מתי מגיע האוטובוס הבא?"
מספר,a few / a number / number,41,2,2,זה רציף מספר שלוש.
האוטובוס,the bus,41,1,1,"סליחה, מתי מגיע האוטובוס הבא?"
הבא,next,41,1,1,"סליחה, מתי מגיע האוטובוס הבא?"
רוכבים,ride,41,1,1,אנחנו רוכבים על סוסים.
סוסים,horses,41,1,1,אנחנו רוכבים על סוסים.
החופשה,the holiday / the vacation,41,1,1,זאת החופשה הראשונה שלה.
הראשונה,the first,41,1,1,זאת החופשה הראשונה שלה.
רציף,platform,41,1,1,זה רציף מספר שלוש.
שלוש,three (fem.),41,1,1,זה רציף מספר שלוש.
יוצאת,depart / is departing / is going out,41,1,1,מתי יוצאת הטיסה שלךָ?
הטיסה,the flight,41,1,1,מתי יוצאת הטיסה שלךָ?
היינו,we have been / we should have / we were / we would be,42,2,2,שלשום היינו במסיבה.
ביחד,together,42,2,2,הלכנו לשם ביחד.
בית,home / house / stanza / the coffee shop / the jail / the prison / verse,42,2,2,בית הכלא הישן הפך למוזיאון.
שלשום,the day before yesterday / two days ago,42,1,1,שלשום היינו במסיבה.
במסיבה,in a party / in the party,42,1,1,שלשום היינו במסיבה.
הלכנו,we had gone / we have gone / we went,42,1,1,הלכנו לשם ביחד.
לשם,there / to there,42,1,1,הלכנו לשם ביחד.
אכל,ate / have eaten,42,1,1,הכלב שלי אכל לי את שיעורי הבית!
שיעורי,the homework,42,1,1,הכלב שלי אכל לי את שיעורי הבית!
הבית,the homework / the house / the stanza / the verse,42,1,1,הכלב שלי אכל לי את שיעורי הבית!
הכלא,the jail / the prison,42,1,1,בית הכלא הישן הפך למוזיאון.
הישן,the old,42,1,1,בית הכלא הישן הפך למוזיאון.
הפך,became / has become / turned (into),42,1,1,בית הכלא הישן הפך למוזיאון.
למוזיאון,to a museum,42,1,1,בית הכלא הישן הפך למוזיאון.
קראתם,you (pl.m.) have read / you (pl.m.) read (past),42,1,1,קראתם את זה כבר?
אבל,but,43,3,3,הוא יותר מקצועי אבל פחות נחמד.
הכי,best / prettiest / the most,43,3,3,זאת החולצה הכי יפָה!
נחמד,nice / nice (sg. masc.) / nicely / pleasant (sg. masc.),43,2,2,הוא יותר מקצועי אבל פחות נחמד.
דומָה,is similar / similar,43,1,1,אני דומָה לה.
מקצועי,professional,43,1,1,הוא יותר מקצועי אבל פחות נחמד.
פחות,less / minus,43,1,1,הוא יותר מקצועי אבל פחות נחמד.
מאזינה,is listening / listens,44,1,1,היא מאזינה לרדיו.
לרדיו,to a radio / to the radio,44,1,1,היא מאזינה לרדיו.
סבון,soap,44,1,1,כמה סבון אתה צריך?
חושבים,are thinking / think,44,1,1,אנחנו חושבים שהבריכה ריקה.
שהבריכה,that the pool,44,1,1,אנחנו חושבים שהבריכה ריקה.
קפה,coffee,44,1,1,אני שותֶה קפה מהספל שלי.
מהספל,from the mug,44,1,1,אני שותֶה קפה מהספל שלי.
קונָה,buy / buys / is buying,44,1,1,היא קונָה מתנה ליום ההולדת שלו.
מתנה,gift,44,1,1,היא קונָה מתנה ליום ההולדת שלו.
ליום,for the birthday,44,1,1,היא קונָה מתנה ליום ההולדת שלו.
ההולדת,for the birthday,44,1,1,היא קונָה מתנה ליום ההולדת שלו.
החיות,at the zoo / in the zoo / the animals,45,1,2,החיות בגן החיות מזדקנות.
הגבר,the man / the man is,45,1,1,הגבר מתחזק.
מתחזק,gets stronger / is getting stronger / maintaining,45,1,1,הגבר מתחזק.
מתקרבת,get closer / gets closer / is getting closer,45,1,1,אני מתקרבת אליכם.
אליכם,to you / toward you,45,1,1,אני מתקרבת אליכם.
בגן,at the zoo / in the zoo,45,1,1,החיות בגן החיות מזדקנות.
מזדקנות,are getting old / get old,45,1,1,החיות בגן החיות מזדקנות.
מתראים,is seeing each other / see each other,45,1,1,אנחנו מתראים הרבה.
מצאתי,I found,46,1,1,מצאתי סוס נדיר.
סוס,a horse / horse,46,1,1,מצאתי סוס נדיר.
נדיר,rare (sg. masc.),46,1,1,מצאתי סוס נדיר.
חנות,a shop / shop / store,46,1,1,זאת חנות מקומית.
מקומית,local (sg. fem.),46,1,1,זאת חנות מקומית.
מחפשים,are looking for / look for / searching,46,1,1,אנחנו מחפשים את המבנה ההיסטורי.
המבנה,the building / the construction / the structure,46,1,1,אנחנו מחפשים את המבנה ההיסטורי.
ההיסטורי,historic / historical,46,1,1,אנחנו מחפשים את המבנה ההיסטורי.
מדהים,amazing (sg. masc.),46,1,1,הכובע הזה מדהים!
חשוב,important (sg. masc.),47,3,3,מבנה הקורס הוא חשוב.
חלק,part,47,1,1,זה חלק מההשקפה שלה.
מההשקפה,of the perspective,47,1,1,זה חלק מההשקפה שלה.
פקודה,an order,47,1,1,זאת פקודה!
בשליטה,under control,47,1,1,הכל בשליטה.
איזה,what / which,47,1,1,איזה עיצוב מודרני!
עיצוב,design,47,1,1,איזה עיצוב מודרני!
מודרני,modern (sg. masc.),47,1,1,איזה עיצוב מודרני!
מבנה,a building / a structure / structure,47,1,1,מבנה הקורס הוא חשוב.
הקורס,the course,47,1,1,מבנה הקורס הוא חשוב.
בוא,come / come (s.m.),48,2,2,בוא איתי.
עצור,stop,48,1,1,עצור!
חכו,wait,48,1,1,"אני באה, חכו לי!"
הזמיני,invite / order,48,1,1,הזמיני אותו לארוחת בוקר!
לארוחת,for breakfast / for dinner / for supper / for the meal / to breakfast,48,1,1,הזמיני אותו לארוחת בוקר!
בישראל,in Israel,49,2,2,הרבה אנשים בישראל מדברים רוסית.
המכתב,the letter,49,2,2,הוא כותב את המכתב בערבית.
שפות,languages,49,1,1,כמה שפות אתה מדבר?
מדבר,speak / speaks / talks,49,1,1,כמה שפות אתה מדבר?
אנשים,people,49,1,1,הרבה אנשים בישראל מדברים רוסית.
מדברים,are talking / speak / talking,49,1,1,הרבה אנשים בישראל מדברים רוסית.
רוסית,Russian,49,1,1,הרבה אנשים בישראל מדברים רוסית.
פורטוגזית,Portuguese,49,1,1,פורטוגזית היא שפה מעניינת.
שפה,language,49,1,1,פורטוגזית היא שפה מעניינת.
מעניינת,interesting (sg. fem.),49,1,1,פורטוגזית היא שפה מעניינת.
כותב,is writing / writes / writing,49,1,1,הוא כותב את המכתב בערבית.
בערבית,in Arabic,49,1,1,הוא כותב את המכתב בערבית.
עצם,bone / noun / object,49,1,1,"זה שם עצם, לא שם תואר."
תואר,adjective / degree,49,1,1,"זה שם עצם, לא שם תואר."
זהירות,careful / warning / watch out,50,1,1,זהירות!
עזרה,help,50,1,1,אני צריך עזרה.
מקרה,a case / an emergency / case / emergency,50,1,1,יש לנו מקרה חירום.
חירום,an emergency / emergency,50,1,1,יש לנו מקרה חירום.
לכודים,trapped,50,1,1,הם לכודים.
החילוץ,the rescue,50,1,1,צוות החילוץ מגיע.
אם,if / whether,51,5,5,היא תקשיב לי אם אדבר איתה.
יהיה,(he) will be / there will be / we will not have,51,2,2,לא יהיה לנו בית.
אהיה,I will be,51,1,1,אני אהיה בעיר מחר.
בעיר,in a city / in the city / in the town,51,1,1,אני אהיה בעיר מחר.
אבחר,(I) will choose / (I) will pick,51,1,1,אני אבחר מסעדה.
מסעדה,a restaurant,51,1,1,אני אבחר מסעדה.
תקשיב,(she) will listen / (you) will listen,51,1,1,היא תקשיב לי אם אדבר איתה.
אדבר,will speak / will talk,51,1,1,היא תקשיב לי אם אדבר איתה.
איתה,with her,51,1,1,היא תקשיב לי אם אדבר איתה.
שלישי,on Tuesday / third,51,1,1,ביום שלישי מזג האוויר ישתנה.
מזג,the weather / the weather is,51,1,1,ביום שלישי מזג האוויר ישתנה.
האוויר,the air / the weather / the weather is,51,1,1,ביום שלישי מזג האוויר ישתנה.
ישתנה,(he) will change,51,1,1,ביום שלישי מזג האוויר ישתנה.
לחזור,come back / return / to go back / to return,52,2,2,אני רוצָה לדעת מתי הרופאה צפויה לחזור.
הנושא,the subject / the topic,52,2,2,הידע שלהם על הנושא הזה הוא מוגבל מאוד.
מאוד,really / very / very much,52,2,2,הידע שלהם על הנושא הזה הוא מוגבל מאוד.
כתוב,written,52,1,1,זה כתוב בספר.
בספר,in the book,52,1,1,זה כתוב בספר.
עשוי,liable / made / might,52,1,1,זה עשוי מפירות טריים.
מפירות,from fruits,52,1,1,זה עשוי מפירות טריים.
טריים,fresh (pl. masc.),52,1,1,זה עשוי מפירות טריים.
התוצאה,the result,52,1,1,זאת התוצאה הרצויה.
הרצויה,the wanted,52,1,1,זאת התוצאה הרצויה.
מעדיפה,prefer,52,1,1,אני מעדיפה אוכל מבושל.
מבושל,cooked,52,1,1,אני מעדיפה אוכל מבושל.
לדעת,to know,52,1,1,אני רוצָה לדעת מתי הרופאה צפויה לחזור.
הרופאה,the doctor (f) / the female doctor,52,1,1,אני רוצָה לדעת מתי הרופאה צפויה לחזור.
צפויה,expected,52,1,1,אני רוצָה לדעת מתי הרופאה צפויה לחזור.
הידע,the knowledge,52,1,1,הידע שלהם על הנושא הזה הוא מוגבל מאוד.
מוגבל,limited / restricted,52,1,1,הידע שלהם על הנושא הזה הוא מוגבל מאוד.
יכול,can / it's possible / maybe / might,53,2,2,אתה יכול לעשות הכל בעצמךָ.
עצמכם,yourself / yourselves,53,1,2,הציגו את עצמכם!
עברית,Hebrew,53,2,2,אתם מלמדים את עצמכם עברית.
בעצמךָ,by yourself,53,1,1,אתה יכול לעשות הכל בעצמךָ.
מבינה,understand / understands,53,1,1,היא מבינה את עצמה טוב מאוד.
עצמה,herself / itself,53,1,1,היא מבינה את עצמה טוב מאוד.
הציגו,present / show,53,1,1,הציגו את עצמכם!
מלמדים,are teaching / teach,53,1,1,אתם מלמדים את עצמכם עברית.
ידי,by,54,2,2,הספר נקרא על ידי הסופרת.
שהם,that they / that they are,54,2,2,אני לא מאמין שהם נפרדים! הם זוג כל כך נחמד!
לרוץ,run / running / to run,54,2,2,אני נהנה לרוץ כל בוקר.
הספר,the book,54,1,1,הספר נקרא על ידי הסופרת.
נקרא,is called / is read / was named,54,1,1,הספר נקרא על ידי הסופרת.
הסופרת,the author (female) / the writer (female),54,1,1,הספר נקרא על ידי הסופרת.
דלתות,doors,54,1,1,דלתות חדשות נפתחות לי.
חדשות,new / news (n),54,1,1,דלתות חדשות נפתחות לי.
נפתחות,open,54,1,1,דלתות חדשות נפתחות לי.
שבוע,week,54,1,1,כל שבוע אני נפגש עם המשפחה שלי.
נפגש,meet / meet up / met,54,1,1,כל שבוע אני נפגש עם המשפחה שלי.
מאמין,believe / believes,54,1,1,אני לא מאמין שהם נפרדים! הם זוג כל כך נחמד!
נפרדים,are breaking up / are separating,54,1,1,אני לא מאמין שהם נפרדים! הם זוג כל כך נחמד!
כך,so / so much / such,54,1,1,אני לא מאמין שהם נפרדים! הם זוג כל כך נחמד!
נהנה,enjoy / enjoys,54,1,1,אני נהנה לרוץ כל בוקר.
בין,among / between / between...and...,55,2,2,נהר הירדן נמצא בין ישראל לירדן.
השדה,the field,55,1,1,השדה מלא בפרחים צבעוניים.
מלא,filled / full (sg. masc.) / total,55,1,1,השדה מלא בפרחים צבעוניים.
בפרחים,in flowers,55,1,1,השדה מלא בפרחים צבעוניים.
צבעוניים,colorful,55,1,1,השדה מלא בפרחים צבעוניים.
העשן,the smoke,55,1,1,העשן יוצא מתוך הקרקע.
יוצא,go out / is getting out / is going out,55,1,1,העשן יוצא מתוך הקרקע.
מתוך,from / from inside / from within,55,1,1,העשן יוצא מתוך הקרקע.
הקרקע,the ground,55,1,1,העשן יוצא מתוך הקרקע.
נהר,river,55,1,1,נהר הירדן נמצא בין ישראל לירדן.
הירדן,the Jordan,55,1,1,נהר הירדן נמצא בין ישראל לירדן.
ישראל,Israel,55,1,1,נהר הירדן נמצא בין ישראל לירדן.
לירדן,to Jordan,55,1,1,נהר הירדן נמצא בין ישראל לירדן.
השקיעה,the sunset,55,1,1,זאת השקיעה הכי יפָה שראיתי.
שראיתי,that I have seen / the I saw,55,1,1,זאת השקיעה הכי יפָה שראיתי.
ההצעות,the suggestions,56,2,2,"מכל ההצעות, זאת הכי טובה."
לפי,In my opinion / according to / by,56,1,1,לפי דעתי העניבה הסגולה לא מתאימה לחולצה הלבנה.
דעתי,In my opinion,56,1,1,לפי דעתי העניבה הסגולה לא מתאימה לחולצה הלבנה.
העניבה,the tie,56,1,1,לפי דעתי העניבה הסגולה לא מתאימה לחולצה הלבנה.
הסגולה,the purple,56,1,1,לפי דעתי העניבה הסגולה לא מתאימה לחולצה הלבנה.
מתאימה,compatible / fits / suits,56,1,1,לפי דעתי העניבה הסגולה לא מתאימה לחולצה הלבנה.
לחולצה,to the shirt,56,1,1,לפי דעתי העניבה הסגולה לא מתאימה לחולצה הלבנה.
שהוא,that he / that he is,56,1,1,אני חושב שהוא טועֶה.
טועֶה,makes a mistake / wrong,56,1,1,אני חושב שהוא טועֶה.
מכל,from everything,56,1,1,"מכל ההצעות, זאת הכי טובה."
לתכנית,to the plan,56,1,1,לתכנית יש הרבה חסרונות.
חסרונות,disadvantages,56,1,1,לתכנית יש הרבה חסרונות.
סְגור,close (imp.),57,1,1,סְגור את הדלת!
הדלת,the door,57,1,1,סְגור את הדלת!
בקרו,visit (imp.),57,1,1,בקרו את סבא שלכם!
סבא,granddad / grandfather / grandpa,57,1,1,בקרו את סבא שלכם!
היכנסו,enter,57,1,1,היכנסו!
הישאר,stay,57,1,1,הישאר כאן איתנו.
כאן,here,57,1,1,הישאר כאן איתנו.
איתנו,with us,57,1,1,הישאר כאן איתנו.
בואו,come / come (pl.m.),57,1,1,בואו נדבר בעברית.
נדבר,we will speak,57,1,1,בואו נדבר בעברית.
בעברית,in Hebrew,57,1,1,בואו נדבר בעברית.
אתכם,you,58,2,2,התקשרנו לומר שאנחנו אוהבים אתכם.
התחתנתי,(I) got married,58,1,1,התחתנתי באביב.
באביב,in the spring,58,1,1,התחתנתי באביב.
התקשרנו,we called,58,1,1,התקשרנו לומר שאנחנו אוהבים אתכם.
לומר,to say / to tell,58,1,1,התקשרנו לומר שאנחנו אוהבים אתכם.
שאנחנו,that we,58,1,1,התקשרנו לומר שאנחנו אוהבים אתכם.
אוהבים,like / love,58,1,1,התקשרנו לומר שאנחנו אוהבים אתכם.
החייל,the soldier,58,1,1,החייל התנדב לרוץ אל הגשר.
התנדב,(he) volunteered / volunteered,58,1,1,החייל התנדב לרוץ אל הגשר.
הגשר,the bridge,58,1,1,החייל התנדב לרוץ אל הגשר.
עוד,more / not yet / still / yet,58,1,1,הוא עוד לא התאושש מהמסיבה אתמול בערב.
התאושש,(he) recovered / recovered,58,1,1,הוא עוד לא התאושש מהמסיבה אתמול בערב.
מהמסיבה,from the party,58,1,1,הוא עוד לא התאושש מהמסיבה אתמול בערב.
בערב,in the evening,58,1,1,הוא עוד לא התאושש מהמסיבה אתמול בערב.
סבתא,grandma / grandmother,59,2,2,המכתבים האלה נכתבו על ידי סבתא שלי.
בשדה,at the airfield / at the airport / in the field,59,2,2,המזוודה שלי נאבדה בשדה התעופה.
החורף,the winter,59,1,1,החורף נגמר.
נגמר,ended / finished / over,59,1,1,החורף נגמר.
כשדיברתי,when I spoke,59,1,1,כשדיברתי איתו הוא נשמע שמח.
איתו,with him / with it,59,1,1,כשדיברתי איתו הוא נשמע שמח.
נשמע,sound / sounded / sounds,59,1,1,כשדיברתי איתו הוא נשמע שמח.
המכתבים,the letters,59,1,1,המכתבים האלה נכתבו על ידי סבתא שלי.
האלה,these / those,59,1,1,המכתבים האלה נכתבו על ידי סבתא שלי.
נכתבו,were written,59,1,1,המכתבים האלה נכתבו על ידי סבתא שלי.
המזוודה,the suitcase,59,1,1,המזוודה שלי נאבדה בשדה התעופה.
נאבדה,was lost,59,1,1,המזוודה שלי נאבדה בשדה התעופה.
התעופה,at the airfield / at the airport,59,1,1,המזוודה שלי נאבדה בשדה התעופה.
נשלחו,were sent,59,1,1,כל ההצעות נשלחו לוועדה.
לוועדה,to the committee,59,1,1,כל ההצעות נשלחו לוועדה.
אלה,these / those,60,2,2,אלה דמעות של אושר.
מקווה,hope / hopes,60,1,1,אני מקווה שאת מאושרת.
שאת,that you,60,1,1,אני מקווה שאת מאושרת.
מאושרת,happy,60,1,1,אני מקווה שאת מאושרת.
מצטער,sorry,60,1,1,"אני מצטער, זה מביך."
מביך,embarrassing,60,1,1,"אני מצטער, זה מביך."
מצפֶה,expect / look forward to,60,1,1,אני מצפֶה לראות אתכם.
לראות,see / seeing / to see,60,1,1,אני מצפֶה לראות אתכם.
מנסֶה,is trying / tries / trying,60,1,1,"אני מנסֶה להיות רגוע, אבל אני מפחד!"
רגוע,calm,60,1,1,"אני מנסֶה להיות רגוע, אבל אני מפחד!"
מפחד,afraid / is scared / scared,60,1,1,"אני מנסֶה להיות רגוע, אבל אני מפחד!"
דמעות,tears,60,1,1,אלה דמעות של אושר.
אושר,happiness / joy,60,1,1,אלה דמעות של אושר.
לריבוע,to a square,61,1,1,לריבוע יש ארבעה קוים.
ארבעה,four (masc.),61,1,1,לריבוע יש ארבעה קוים.
קוים,lines,61,1,1,לריבוע יש ארבעה קוים.
האם,do / does / is,61,1,1,האם זה עיגול או אליפסה?
עיגול,circle,61,1,1,האם זה עיגול או אליפסה?
אליפסה,ellipse,61,1,1,האם זה עיגול או אליפסה?
למשושה,to a hexagon,61,1,1,למשושה יש יותר צלעות ממקבילית.
צלעות,edges / edges (geometry),61,1,1,למשושה יש יותר צלעות ממקבילית.
ממקבילית,from a parallelogram / of a parallelogram,61,1,1,למשושה יש יותר צלעות ממקבילית.
השטח,the area,61,1,1,מה השטח של המלבן?
המלבן,the rectangle,61,1,1,מה השטח של המלבן?
דיבר,spoke,62,1,1,הוא דיבר אליי בכבוד.
אליי,to me / towards me,62,1,1,הוא דיבר אליי בכבוד.
בכבוד,in respect / with respect,62,1,1,הוא דיבר אליי בכבוד.
מקבלות,get / receive,62,1,1,הן לא מקבלות את המציאות.
המציאות,the reality,62,1,1,הן לא מקבלות את המציאות.
שנשאר,that is left / that was left,62,1,1,כל מה שנשאר הוא רק זיכרון.
רק,just / only,62,1,1,כל מה שנשאר הוא רק זיכרון.
זיכרון,memory,62,1,1,כל מה שנשאר הוא רק זיכרון.
האמת,the truth,62,1,1,זאת האמת!
צריכים,need / one needs / we should have,63,2,2,התיירים צריכים להתאושש מהטיול.
להמשיך,to carry on / to continue,63,1,1,אנחנו רוצים להמשיך להרפתקה הבאה.
להרפתקה,to the adventure,63,1,1,אנחנו רוצים להמשיך להרפתקה הבאה.
הבאה,"next / the next (f,s)",63,1,1,אנחנו רוצים להמשיך להרפתקה הבאה.
לענות,answer / to answer,63,1,1,אתם רוצים לענות?
לחכות,to wait,63,1,1,אני צריך לחכות לדרכון האירופאי.
לדרכון,to the passport,63,1,1,אני צריך לחכות לדרכון האירופאי.
האירופאי,the European,63,1,1,אני צריך לחכות לדרכון האירופאי.
התיירים,the tourists,63,1,1,התיירים צריכים להתאושש מהטיול.
להתאושש,to recover,63,1,1,התיירים צריכים להתאושש מהטיול.
מהטיול,from the trip,63,1,1,התיירים צריכים להתאושש מהטיול.
ראש,Rosh Ha'shana / head / the Jewish New Year / the prime minister,64,2,3,ראש הממשלה החליט שלא להגיב.
הממשלה,the government / the prime minister,64,1,2,ראש הממשלה החליט שלא להגיב.
החליט,(he) decided / decided,64,2,2,ראש הממשלה החליט שלא להגיב.
שלא,that are not / that do not / that is not,64,1,1,ראש הממשלה החליט שלא להגיב.
להגיב,respond / to react / to respond,64,1,1,ראש הממשלה החליט שלא להגיב.
מצאנו,we found / we have found,64,1,1,מצאנו כלֵי נשק על המטוס.
כלֵי,weapons,64,1,1,מצאנו כלֵי נשק על המטוס.
נשק,weapons,64,1,1,מצאנו כלֵי נשק על המטוס.
המטוס,the airplane,64,1,1,מצאנו כלֵי נשק על המטוס.
הגבול,the border,64,1,1,על הגבול יש הרבה מגדלי שמירה.
מגדלי,watchtowers,64,1,1,על הגבול יש הרבה מגדלי שמירה.
שמירה,watchtowers,64,1,1,על הגבול יש הרבה מגדלי שמירה.
שומרי,the bodyguards,64,1,1,אלה שומרי הראש של ראש הממשלה.
הראש,the bodyguards / the head,64,1,1,אלה שומרי הראש של ראש הממשלה.
הייתה,(she) had been / (she) was / (she) would / was,65,2,3,אם היא לא הייתה שחקנית מפורסמת היא הייתה רופאה.
רופאה,doctor,65,2,2,אם היא לא הייתה שחקנית מפורסמת היא הייתה רופאה.
היה,(he/it) was / had / there was / was,65,2,2,לולא התחננתי הוא לא היה נותן לי את המפתח.
שחקנית,actress / an actress,65,1,1,אם היא לא הייתה שחקנית מפורסמת היא הייתה רופאה.
מפורסמת,famous (sg. fem.),65,1,1,אם היא לא הייתה שחקנית מפורסמת היא הייתה רופאה.
לוּ,if / if (cond.),65,1,1,לוּ ידעתָ כמה אתה חשוב לי.
ידעתָ,you (s.m.) knew,65,1,1,לוּ ידעתָ כמה אתה חשוב לי.
לולא,if it weren't  for / if not / were it not for,65,1,1,לולא התחננתי הוא לא היה נותן לי את המפתח.
התחננתי,I begged,65,1,1,לולא התחננתי הוא לא היה נותן לי את המפתח.
נותן,give / is giving / lets,65,1,1,לולא התחננתי הוא לא היה נותן לי את המפתח.
אצבעות,fingers,66,1,1,כמה אצבעות יש לקוף?
לקוף,to the monkey,66,1,1,כמה אצבעות יש לקוף?
כואב,ache / hurts / sore,66,1,1,כואב לי המרפק.
המרפק,the elbow,66,1,1,כואב לי המרפק.
שתי,both / both of / two (fem.),66,1,1,יש לי שתי ברכיים ושתי כתפיים.
ברכיים,knees,66,1,1,יש לי שתי ברכיים ושתי כתפיים.
ושתי,and two (fem.),66,1,1,יש לי שתי ברכיים ושתי כתפיים.
כתפיים,shoulders,66,1,1,יש לי שתי ברכיים ושתי כתפיים.
המוח,the brain,66,1,1,המוח נמצא  בתוך הגולגולת.
בתוך,inside / within,66,1,1,המוח נמצא  בתוך הגולגולת.
הגולגולת,the skull,66,1,1,המוח נמצא  בתוך הגולגולת.
הבנק,the bank,67,1,2,היא אמרה לי שהיא תחכה ליד הבנק.
איך,how / how are / how is,67,1,1,איך נדע אם הם ניצחו?
נדע,we will know,67,1,1,איך נדע אם הם ניצחו?
ניצחו,(they) won / won,67,1,1,איך נדע אם הם ניצחו?
אחליף,(I) will replace,67,1,1,אני חושב שאני אחליף את המחשב הזה.
המחשב,the computer,67,1,1,אני חושב שאני אחליף את המחשב הזה.
אמרה,said / told,67,1,1,היא אמרה לי שהיא תחכה ליד הבנק.
שהיא,that she,67,1,1,היא אמרה לי שהיא תחכה ליד הבנק.
תחכה,she will wait / you will wait,67,1,1,היא אמרה לי שהיא תחכה ליד הבנק.
ליד,beside / next to,67,1,1,היא אמרה לי שהיא תחכה ליד הבנק.
יבקשו,(they) will ask for / (they) will request,67,1,1,יכול להיות שהם יבקשו את מספר חשבון הבנק שלךָ.
חשבון,account / bill,67,1,1,יכול להיות שהם יבקשו את מספר חשבון הבנק שלךָ.
בכל,every / in every / in everything,68,2,2,בכל שבת יהודים רבים הולכים לבית הכנסת.
יהודים,Jews,68,1,1,בכל שבת יהודים רבים הולכים לבית הכנסת.
רבים,many (pl. masc.),68,1,1,בכל שבת יהודים רבים הולכים לבית הכנסת.
הולכים,are going / are walking / go,68,1,1,בכל שבת יהודים רבים הולכים לבית הכנסת.
לבית,to home / to the house / to the synagogue,68,1,1,בכל שבת יהודים רבים הולכים לבית הכנסת.
הכנסת,the Knesset / to the synagogue,68,1,1,בכל שבת יהודים רבים הולכים לבית הכנסת.
בעלי,my husband,68,1,1,בעלי הוא יהודי דתי.
יהודי,Jew / jew.,68,1,1,בעלי הוא יהודי דתי.
דתי,religious (sg. masc.),68,1,1,בעלי הוא יהודי דתי.
ביוון,in Greece,68,1,1,ביוון העתיקה היו הרבה אלים.
העתיקה,ancient,68,1,1,ביוון העתיקה היו הרבה אלים.
היו,(they) were / were,68,1,1,ביוון העתיקה היו הרבה אלים.
אלים,gods,68,1,1,ביוון העתיקה היו הרבה אלים.
האסלאם,the Islam,68,1,1,מה האסלאם אומר על זה?
אומר,is saying / mean / say,68,1,1,מה האסלאם אומר על זה?
גדולה,big / great / large,69,2,2,הסוף של הסרט היה הפתעה גדולה!
שירה,poetry,69,1,2,אתה מעדיף שירה מודרנית או שירה עתיקה?
הסוף,the end,69,1,1,הסוף של הסרט היה הפתעה גדולה!
הסרט,the movie,69,1,1,הסוף של הסרט היה הפתעה גדולה!
הפתעה,surprise,69,1,1,הסוף של הסרט היה הפתעה גדולה!
בלי,without,69,1,1,"בלי ספרות, אין תרבות."
ספרות,literature,69,1,1,"בלי ספרות, אין תרבות."
תרבות,a culture / culture,69,1,1,"בלי ספרות, אין תרבות."
מעדיף,prefer,69,1,1,אתה מעדיף שירה מודרנית או שירה עתיקה?
מודרנית,modern (sg. fem.),69,1,1,אתה מעדיף שירה מודרנית או שירה עתיקה?
עתיקה,ancient,69,1,1,אתה מעדיף שירה מודרנית או שירה עתיקה?
המפיק,the producer,69,1,1,המפיק ידבר עם השחקן אחרי ההצגה.
ידבר,will speak / will talk,69,1,1,המפיק ידבר עם השחקן אחרי ההצגה.
השחקן,the actor / the player,69,1,1,המפיק ידבר עם השחקן אחרי ההצגה.
ההצגה,the play / the show,69,1,1,המפיק ידבר עם השחקן אחרי ההצגה.
אַל,Do not,70,1,4,אַל תלך!
תשנה,(you) will change,70,2,2,אַל תשנה את הנושא!
תלך,will go,70,1,1,אַל תלך!
תשנו,(you) will change,70,1,1,"אַל תשנו כלום, זה מושלם!"
מושלם,perfect,70,1,1,"אַל תשנו כלום, זה מושלם!"
תתעלם,(she) will ignore / (you all) will ignore,70,1,1,אַל תתעלם מהבעיה הזאת!
מהבעיה,from the problem,70,1,1,אַל תתעלם מהבעיה הזאת!
פתח,open,71,1,1,פתח את הדפדפן שוב.
הדפדפן,the browser,71,1,1,פתח את הדפדפן שוב.
שוב,again,71,1,1,פתח את הדפדפן שוב.
הנתונים,the data,71,1,1,הנתונים נראים טובים.
נראים,look / seem,71,1,1,הנתונים נראים טובים.
טובים,good (pl. masc.),71,1,1,הנתונים נראים טובים.
המקלדת,the keyboard,71,1,1,המקלדת היא העט של העידן המודרני.
העידן,the era,71,1,1,המקלדת היא העט של העידן המודרני.
המודרני,modern,71,1,1,המקלדת היא העט של העידן המודרני.
מעלים,upload,71,1,1,הם מעלים סרטים לאתרי אינטרנט.
סרטים,films / movies,71,1,1,הם מעלים סרטים לאתרי אינטרנט.
לאתרי,to Internet sites / to Internet websites / to websites,71,1,1,הם מעלים סרטים לאתרי אינטרנט.
אינטרנט,internet / to Internet sites / to Internet websites / to websites,71,1,1,הם מעלים סרטים לאתרי אינטרנט.
קנייה,purchase / purchase (n),72,1,1,זאת הייתה קנייה חכמה.
חכמה,smart (sg. fem.),72,1,1,זאת הייתה קנייה חכמה.
