hebrew,english,unit,challenge_type,solution_key,source
זה המתכון של המרק.,This is the recipe of the soup.,14,listenTap,72f2483dec2b632996df4c0f6ab0e67b,duolingo_hebrew_sentences.tsv
זה הסכין שלהם.,This is their knife.,14,translate,d6a6772088830cbc034c9648448c8a71,duolingo_hebrew_sentences.tsv
"זה לא טעים לי, זה מר.","This is not tasty, this is bitter.",14,listenTap,d8d5bc684510081f8f834cdc28ea0280,duolingo_hebrew_sentences_2.tsv
זה לא ירק.,This is not a vegetable.,14,listenTap,66df61b3eede014c5c09e5e1a4c86ac0,duolingo_hebrew_sentences.tsv
זה מטבח יפֶה.,This is a pretty kitchen.,14,listenTap,bd57408c91b55485db0ccabacfc999f8,duolingo_hebrew_sentences_2.tsv
זה מלוח.,This is salty.,14,listenTap,854dc85459b3c8b720255370b9ef7307,duolingo_hebrew_sentences_2.tsv
זה תפוח או תפוח אדמה?,Is this an apple or a potato?,14,listenTap,84a5c8e887faddd05e83946a72ccf50c,duolingo_hebrew_sentences_2.tsv
ירק,a vegetable,14,assist,d7d5f774aef019c9b88eb190d0cf3de1,duolingo_hebrew_sentences.tsv
יש בצל ברוטב.,There is onion in the sauce.,14,translate,accf3134c52882a5cf61fa6684f73bdc,duolingo_hebrew_sentences_2.tsv
יש לארוחה ריח טוב.,The meal has a good smell.,14,listenTap,17f5a7cba89bdacd31337ea80af087ad,duolingo_hebrew_sentences_2.tsv
יש לו מסטיק.,He has chewing gum.,14,translate,f0f5ffae3aca60763efe4ad735e23269,duolingo_hebrew_sentences_2.tsv
יש לי מזלג וסכין.,I have a fork and a knife.,14,listenTap,f3f387e37b2b00e709977da619f204bc,duolingo_hebrew_sentences.tsv
יש לי קערה.,I have a bowl.,14,listenTap,e393c58f4b203e28fee2faace2b90c91,duolingo_hebrew_sentences.tsv
יש לךָ פלפל?,Do you have a pepper?,14,translate,a6d03752506d781bd1884741a3ac4ad7,duolingo_hebrew_sentences.tsv
יש לנו פלפלים?,Do we have peppers?,14,translate,b12861f31c98a6f26e8326041b89ba0b,duolingo_hebrew_sentences.tsv
יש תפוח אדמה בסלט.,There is potato in the salad.,14,listenTap,77d47107613316d9a99170696b9aaa3b,duolingo_hebrew_sentences_2.tsv
כוס מים.,A cup of water.,14,listenTap,529937c428e3a692768c1370d85308ea,duolingo_hebrew_sentences.tsv
כלבים אוכלים ריבה?,Do dogs eat jam?,14,translate,1a0c15c1876ce17c2de5a66b020ba2df,duolingo_hebrew_sentences_2.tsv
כף,a spoon,14,assist,6a28077fd6e76bb7e7774aa4a5c42a30,duolingo_hebrew_sentences.tsv
כפית,a teaspoon,14,assist,3bacf917ade3b27db9e33ffe323d9c6f,duolingo_hebrew_sentences.tsv
לדבורה יש דבש.,The bee has honey.,14,translate,51650f3e2269c27182966b7838f5c8e9,duolingo_hebrew_sentences.tsv
לחם וריבה?,Bread and jam?,14,translate,74ae72ab08a55681c31673dcba5f514f,duolingo_hebrew_sentences_2.tsv
מזלג,a fork,14,assist,d41f46748ae3cc9738c30a93a6126f11,duolingo_hebrew_sentences.tsv
מטבח,a kitchen,14,assist,6ebe7a650ad704d843b62e90b329c7d0,duolingo_hebrew_sentences_2.tsv
מלוח,salty,14,assist,0a360598400d1da524c5419ae7167f08,duolingo_hebrew_sentences_2.tsv
מלפפון מר.,A bitter cucumber.,14,translate,3eb7b52954ff6d7c10d66dfd8f3eceec,duolingo_hebrew_sentences_2.tsv
"מנגו, בננה ואבוקדו.","Mango, banana and avocado.",14,translate,ccb14d8fa389671bdb190b2a1aa88581,duolingo_hebrew_sentences_2.tsv
מר,bitter,14,assist,920ce8bbec2dce7c3f13fad4085a6b1e,duolingo_hebrew_sentences_2.tsv
מתכון,a recipe,14,assist,8db32a8a4e8a265eab2cb860531a2290,duolingo_hebrew_sentences.tsv
מתכון טוב.,A good recipe.,14,translate,b2cd6192250db38caa550272ce8c9bed,duolingo_hebrew_sentences.tsv
סכין,a knife,14,assist,b98b967af8f040302663c6e567f60b06,duolingo_hebrew_sentences.tsv
"סליחה, אין לי מפית.","Sorry, I do not have a napkin.",14,translate,602ce569463aa81d5c026a9e443a73c9,duolingo_hebrew_sentences.tsv
"סליחה, אין לי מפית.","Excuse me, I do not have a napkin.",14,listenTap,808367664d2eda133375a5afa6a710a9,duolingo_hebrew_sentences.tsv
"סליחה, יש לכם סכין?","Excuse me, do you have a knife?",14,translate,ab2d281ad20d62a8749193d5834ed996,duolingo_hebrew_sentences.tsv
עגבניה היא פרי או ירק?,Is a tomato a fruit or a vegetable?,14,translate,65abcb4f0e595d53a78dca3bbeff83ba,duolingo_hebrew_sentences.tsv
ענב או דובדבן?,Grape or cherry?,14,translate,5a4e62a36b4b7dad7af78c6c7f6c780e,duolingo_hebrew_sentences_2.tsv
ענב חמוץ.,A sour grape.,14,translate,290f4fdd19b95a7b0292ca81ade1a153,duolingo_hebrew_sentences_2.tsv
פלפל,pepper,14,assist,ff5f5343a5a0cdd96149ab284974c914,duolingo_hebrew_sentences.tsv
קמח תפוח אדמה.,Potato flour.,14,translate,d6ea40502ec3131076f33256c94166a8,duolingo_hebrew_sentences_2.tsv
קערה,a bowl,14,assist,d6d373d5211e798793b6e4fa0941fca4,duolingo_hebrew_sentences.tsv
רוטב עגבניות.,Tomato sauce.,14,listenTap,761836f8605c3f812baa4ea5343322da,duolingo_hebrew_sentences.tsv
תה,tea,14,assist,e4b690c73131a033bc32af5d1c1747d1,duolingo_hebrew_sentences.tsv
אין לו חגורה.,He does not have a belt.,15,translate,b9eae485a8fb6999562f28a6de79aaba,duolingo_hebrew_sentences.tsv
אין לי מעיל.,I don't have a coat.,15,translate,d7f98a1632e0b98248aaeb2bd86a0c20,duolingo_hebrew_sentences.tsv
אין לי צמידים.,I have no bracelets.,15,translate,818f0fd80ece18e3bd23e8c148911a89,duolingo_hebrew_sentences_2.tsv
אין לךְ בגד ים?,Don't you have a bathing suit?,15,translate,7ca96a9b9f1064c04b800b9700c11af3,duolingo_hebrew_sentences_2.tsv
אין לנו חגורה!,We do not have a belt!,15,listenTap,e1a8bede55facaae2865cc9c36e77934,duolingo_hebrew_sentences.tsv
אמא ואבא מרכיבים משקפי שמש.,Mom and dad are wearing sunglasses.,15,translate,7b5e29e74b55f26aa331bd0e2ea20a70,duolingo_hebrew_sentences.tsv
אנחנו לא לובשות שמלות.,We do not wear dresses.,15,translate,c208a8c3035e0c87aefd9a6a028ac053,duolingo_hebrew_sentences.tsv
אני אוהבת שמלות.,I love dresses.,15,listenTap,1427c1a72f64f91bf99ec9c3a4abee49,duolingo_hebrew_sentences.tsv
אני חובש כובע.,I am wearing a hat.,15,translate,00dbf92f67d20bc450d1c907af1103e8,duolingo_hebrew_sentences.tsv
אני לא רוצֶה חליפה.,I do not want a suit.,15,translate,a7cf92e1af16f4b4388d0c9466c0cae4,duolingo_hebrew_sentences.tsv
אני לובש חולצה.,I am wearing a shirt.,15,translate,1542680913256b1057d9898b549b753d,duolingo_hebrew_sentences.tsv
אני לובש מכנסיים.,I am wearing pants.,15,translate,836d4deb01c3e32581e132e4c1922b0a,duolingo_hebrew_sentences.tsv
אני מרכיב משקפי שמש.,I am wearing sunglasses.,15,translate,19b3a6ff48a9c04553480ee6d35db539,duolingo_hebrew_sentences.tsv
אני מרכיב משקפי שמש.,I wear sunglasses.,15,translate,82ab44a45ec216c39ec1b2c4e11361c0,duolingo_hebrew_sentences.tsv
אני נועל נעליים.,I am wearing shoes.,15,translate,5cc284ebca1b794f0bf288ade6f5cdc7,duolingo_hebrew_sentences.tsv
אני נועלת נעליים.,I am wearing shoes.,15,translate,e91e7df91601752eb2268c0c84120752,duolingo_hebrew_sentences.tsv
אני עונד טבעת.,I am wearing a ring.,15,translate,ef14c58edb54746095dd53de8f7c24a2,duolingo_hebrew_sentences.tsv
אני צריך משקפי שמש.,I need sunglasses.,15,translate,b7e5605661b4f79709ca322dfaf93773,duolingo_hebrew_sentences.tsv
אני רוצֶה ז'קט.,I want a jacket.,15,translate,76cdbf89055bacd96ac79c9d189a7d48,duolingo_hebrew_sentences_2.tsv
אני שם כפפה.,I am putting on a glove.,15,listenTap,6162b374e0174dfc6f1addad6f98ec22,duolingo_hebrew_sentences.tsv
את לא עונדת טבעת.,You are not wearing a ring.,15,listenTap,a36e623704eb83f650324e85fc41d5a3,duolingo_hebrew_sentences.tsv
את נועלת נעליים.,You are wearing shoes.,15,translate,4b5bbd603b819f22bcf182672fece912,duolingo_hebrew_sentences.tsv
אתם לא לובשים מעילים.,You don't wear coats.,15,listenTap,0a7f255d267df8e7051ae05d9f2a8185,duolingo_hebrew_sentences_2.tsv
אתם רוצים בגדים?,Do you want clothes?,15,translate,e71ac88ea0999d26f0a68e324c7b86d8,duolingo_hebrew_sentences.tsv
האישה חובשת כובע יפֶה.,The woman is wearing a pretty hat.,15,translate,71d88d663371832feeee143cd60a5c86,duolingo_hebrew_sentences.tsv
האישה לובשת את החליפה שלה.,The woman is wearing her suit.,15,listenTap,6dabb88678e72b34660bf345e6db73ee,duolingo_hebrew_sentences.tsv
האישה עונדת טבעת.,The woman is wearing a ring.,15,translate,9f19c2326eb857c58c1922a0fd701506,duolingo_hebrew_sentences.tsv
האישה רואָה סוודרים יפים.,The woman sees pretty sweaters.,15,translate,50841396b4ab6fcc7cd895173335d07f,duolingo_hebrew_sentences_2.tsv
הגבר לובש את החליפה שלו.,The man is wearing his suit.,15,listenTap,dd884029613fb579f5b63ddb8d0d0ed2,duolingo_hebrew_sentences.tsv
הוא לא לובש בגדים.,He is not wearing clothes.,15,translate,7c5bc48b23a66b2d6a8da6813862d523,duolingo_hebrew_sentences.tsv
הוא לובש את המעיל שלו.,He is wearing his coat.,15,translate,e349356207f3aa5511394dd8d18e91a1,duolingo_hebrew_sentences.tsv
הוא עונד שרשרת.,He is wearing a necklace.,15,translate,75f632382a6d0d4a0e9b9082ea2bc1e6,duolingo_hebrew_sentences.tsv
הז'קט שלהם לא יפֶה.,Their jacket is not pretty.,15,listenTap,b0dab63dd2843cad01e30b3bc908099d,duolingo_hebrew_sentences_2.tsv
החולצה שלךָ יפָה.,Your shirt is pretty.,15,translate,6552993389ba75e0cf18a7e1c9d2c706,duolingo_hebrew_sentences.tsv
החולצה.,The shirt.,15,listenTap,007ba8b28917b14ac5f91679db70d167,duolingo_hebrew_sentences.tsv
החולצות.,The shirts.,15,listenTap,2c4a02fb6073ca649638c66e08b588a2,duolingo_hebrew_sentences.tsv
החצאיות.,The skirts.,15,translate,c4f88bb5ac5fea4309997d64ece5d193,duolingo_hebrew_sentences.tsv
החתול שם כפפות.,The cat is putting on gloves.,15,translate,96146f2b0e3bb4947a0768ee87f63f42,duolingo_hebrew_sentences.tsv
היא לובשת את החצאית שלה.,She is wearing her skirt.,15,translate,fd5b383bc147036af3d7efdaba436ee3,duolingo_hebrew_sentences.tsv
היא לובשת מכנסיים.,She is wearing pants.,15,translate,f83330612b7e9e6d6e0289e8d8541c17,duolingo_hebrew_sentences.tsv
היא מרכיבה משקפיים.,She wears glasses.,15,translate,f0a658680fa8708e2fcdf6e520985df2,duolingo_hebrew_sentences.tsv
היא מרכיבה משקפיים.,She is wearing glasses.,15,translate,07eb823f35498022cd589551f054c445,duolingo_hebrew_sentences.tsv
הילד אוהב את התחפושת.,The boy loves the costume.,15,translate,c120b1d899e67f1815b5f5f31ced0f63,duolingo_hebrew_sentences_2.tsv
הילד לא גורב גרביים.,The boy isn't wearing socks.,15,listenTap,9022dcc044edb39250ccc64205c4e870,duolingo_hebrew_sentences_2.tsv
הילדה גורבת גרביים.,The girl is wearing socks.,15,listenTap,392122d9d673d406efd23a314ef65ad6,duolingo_hebrew_sentences_2.tsv
הילדה לובשת שמלה.,The girl is wearing a dress.,15,translate,5292562d97ad051d25d857e099471a33,duolingo_hebrew_sentences.tsv
הילדים חובשים כובעים.,The boys are wearing hats.,15,listenTap,0a7b853e0450f8a32d21bd2349dc9715,duolingo_hebrew_sentences.tsv
הילדים חובשים כובעים.,The children wear hats.,15,translate,52444b879a54f36cc39758a4d91cfd94,duolingo_hebrew_sentences.tsv
הילדים צריכים בגדי ים.,The children need bathing suits.,15,translate,0d95b340ebea958a700175b969c31f1e,duolingo_hebrew_sentences_2.tsv
הכובע שלךָ יפֶה.,Your hat is pretty.,15,translate,693c6eacee86167f73af7fd5cada6bb9,duolingo_hebrew_sentences.tsv
הכיסים שלי ריקים.,My pockets are empty.,15,listenTap,5870c409ba222449177b853690c7f906,duolingo_hebrew_sentences_2.tsv
הם לא צריכים את הגרביים שלהם.,They don't need their socks.,15,translate,d2c663d4961227a729f9d39f1c34a68d,duolingo_hebrew_sentences_2.tsv
הם לובשים חולצות.,They wear shirts.,15,translate,d27d12f201ac0333833c10d651c82b77,duolingo_hebrew_sentences.tsv
הם עונדים שרשראות.,They are wearing necklaces.,15,translate,abfee346aba3c61b7d872a860f71ff54,duolingo_hebrew_sentences.tsv
הם רוצים ג'ינסים.,They want jeans.,15,translate,1f99e52c581cf6c5fc68e1fc604a8ea5,duolingo_hebrew_sentences_2.tsv
המכנסיים שלי יפים.,My pants are pretty.,15,translate,052ed5f6232a594d37c741690b725621,duolingo_hebrew_sentences.tsv
המעילים.,The coats.,15,translate,d35c59eb46d6969870fe86e0b2b539a9,duolingo_hebrew_sentences.tsv
המשקפיים שלהם לא יפים.,Their glasses are not pretty.,15,listenTap,1a17ed1030122441f18578d5519d23ed,duolingo_hebrew_sentences.tsv
הנעל.,The shoe.,15,translate,0a0eb4235844189e400d2c024fd0f79b,duolingo_hebrew_sentences.tsv
הנעליים.,The shoes.,15,translate,0d37bc835ace5ee2d3747c24b48b02d1,duolingo_hebrew_sentences.tsv
הצעיף שלךָ לא יפֶה.,Your scarf is not pretty.,15,translate,7744a2a9781947d470749d7b828f68a2,duolingo_hebrew_sentences_2.tsv
השמלה שלי.,My dress.,15,translate,3efce84b4dc7d83e4fc537cda43a4880,duolingo_hebrew_sentences.tsv
התכשיטים שלהם יפים.,Their jewelry is pretty.,15,translate,421524e9c7fb35404a811e26737b6e91,duolingo_hebrew_sentences_2.tsv
ז'קט,a jacket,15,assist,9e6110ee28b42a0a512e1ec1993bedd4,duolingo_hebrew_sentences_2.tsv
זאת החצאית שלי.,This is my skirt.,15,translate,f60ebfa7f5e632ef10c689d35e59f08b,duolingo_hebrew_sentences.tsv
זאת הכפפה שלו.,This is his glove.,15,translate,4624c589b6c5904bb51ae3f005e5efa0,duolingo_hebrew_sentences.tsv
זאת לא החגורה שלהם.,This is not their belt.,15,translate,3d6f5027693fb834fb8388fd50b15856,duolingo_hebrew_sentences.tsv
זאת לא החגורה שלי.,This is not my belt.,15,listenTap,e84cd3b0fd464f5ed27e3c76b7a25c6d,duolingo_hebrew_sentences.tsv
זאת לא החצאית שלה.,This is not her skirt.,15,translate,afd4cf6a5ccb07ffcaf7420017cc23b6,duolingo_hebrew_sentences.tsv
זה בגד הים שלךָ?,Is this your bathing suit?,15,listenTap,d370f3660be42760748c6f0ca0e316a3,duolingo_hebrew_sentences_2.tsv
זה לא הסוודר שלו.,This is not his sweater.,15,translate,4b9413307dba7fae0ab0b421b1f7e670,duolingo_hebrew_sentences_2.tsv
חגורה,a belt,15,assist,25f4902864e910310d25c4c305635a99,duolingo_hebrew_sentences.tsv
חולצה,a shirt,15,assist,13f4eb7f2646f9299f053a2cadf1a06f,duolingo_hebrew_sentences.tsv
חולצה ומכנסיים הם בגדים.,A shirt and pants are clothes.,15,translate,ad86a3845b7de4ea2fed11aafcf5ebc1,duolingo_hebrew_sentences.tsv
חליפה,a suit,15,assist,cbb1623d1acc88758b28cd0706a183ce,duolingo_hebrew_sentences.tsv
טבעת,a ring,15,assist,69c94da3f5d68ee5eac767f1b94ae17a,duolingo_hebrew_sentences.tsv
יש לו עניבה.,He has a tie.,15,translate,8b1e1ec87e4283fb6f93c6b8bb508b5e,duolingo_hebrew_sentences_2.tsv
יש לי אותם מכנסיים.,I have the same pants.,15,translate,c639175114ec74a028199bf14f6472e0,duolingo_hebrew_sentences.tsv
יש לסוודר כיסים?,Does the sweater have pockets?,15,translate,73f04b14ac590a79c5a52496ccd67418,duolingo_hebrew_sentences_2.tsv
כפפה,a glove,15,assist,4d55dcfb2ec4f4220f9ad98ed31a29f2,duolingo_hebrew_sentences.tsv
לילדים יש ז'קט.,The children have a jacket.,15,listenTap,a4c0797943f6afde89814a08795fd7e0,duolingo_hebrew_sentences_2.tsv
מעיל,a coat,15,assist,749774988d3c86e20c6fdb6783c9ae18,duolingo_hebrew_sentences.tsv
משקפי שמש,sunglasses,15,assist,d80de340a35dae37e038f8600da9319a,duolingo_hebrew_sentences.tsv
משקפיים,glasses,15,assist,fa08fb38319f730880566d2dd9e920db,duolingo_hebrew_sentences.tsv
משקפיים או משקפי שמש?,Glasses or sunglasses?,15,translate,6152f0b8bd8d4c5ef19c6ef8617b426f,duolingo_hebrew_sentences.tsv
נעל,shoe,15,assist,94b4c088427dcaeee9ec0c5a8b9849f1,duolingo_hebrew_sentences.tsv
סוודר.,A sweater.,15,translate,e00e113e1ef9387ccae3cfd83c04cd37,duolingo_hebrew_sentences_2.tsv
צמיד יפֶה.,A pretty bracelet.,15,translate,5e28f47baa757be558d636816b8962b5,duolingo_hebrew_sentences_2.tsv
שמלה,a dress,15,assist,8909b44dbd1af6880193a46aed7dd42a,duolingo_hebrew_sentences.tsv
שרשרת,a necklace,15,assist,17cedb74f4b443c77b58a5844cbed3d4,duolingo_hebrew_sentences.tsv
אבא נח.,Dad is resting.,16,translate,843341531fc9a571be40c869e04632f0,duolingo_hebrew_sentences_2.tsv
אנחנו יושבות ואתם רוקדים.,We are sitting and you are dancing.,16,translate,39c440b89ce1bd159ad88e790cc618e1,duolingo_hebrew_sentences_2.tsv
אנחנו לא חוזרים למסעדה.,We are not returning to the restaurant.,16,translate,6492ecd34addcdade7266e38c1b7fec4,duolingo_hebrew_sentences_2.tsv
אנחנו נותנים לךָ את הסוס.,We give you the horse.,16,translate,3a8c6c10e79fc6fde100af4477fbbab6,duolingo_hebrew_sentences.tsv
אנחנו פותחים את המסעדה.,We are opening the restaurant.,16,translate,02b885d0270b54a6d46f323f0a2aa6ee,duolingo_hebrew_sentences.tsv
אנחנו קונות אוכל.,We are buying food.,16,translate,0d3ae4e20d086903378fa2b857f7532b,duolingo_hebrew_sentences.tsv
אנחנו תומכים בחיות.,We support animals.,16,listenTap,20b6f9ba1351cee2426642006edb54ff,duolingo_hebrew_sentences.tsv
אני אומר לא.,I say no.,16,translate,77af2747623f194fd098c18ebd999ee0,duolingo_hebrew_sentences.tsv
אני אומר לו.,I am telling him.,16,translate,11c75ffbca05dd159051145fb5f6a8ea,duolingo_hebrew_sentences.tsv
אני זוכרת את הארנב.,I remember the rabbit.,16,listenTap,04bb62c340f26ec6f012572b4916c43e,duolingo_hebrew_sentences_2.tsv
אני חושב.,I am thinking.,16,translate,66110433ed62dd98070ebc422452f69b,duolingo_hebrew_sentences_2.tsv
אני כותב ספר.,I am writing a book.,16,translate,7a28dee3177a63bf51b3c5b35123e5a4,duolingo_hebrew_sentences.tsv
אני כותבת ספר.,I am writing a book.,16,listenTap,f607ba945f02c785d6c52187c4e40e7e,duolingo_hebrew_sentences.tsv
אני לא זוכר את המתכון!,I do not remember the recipe!,16,translate,8e3afcd61f6e3c59349a6dc32a4bf107,duolingo_hebrew_sentences_2.tsv
אני לא יודע.,I don't know.,16,translate,5b7f424a9fce9ca9ac3213191ddf5cae,duolingo_hebrew_sentences.tsv
אני לא מוצא את האוכל שלי.,I am not finding my food.,16,translate,e202e434a814029a8e71a9c2c89125b0,duolingo_hebrew_sentences.tsv
אני לא מוצא את הדרך.,I can't find the path.,16,translate,9149ce1550faa4cdc672a3e43d7fa321,duolingo_hebrew_sentences.tsv
אני לא נוגע.,I am not touching.,16,listenTap,75fb366fdbdf2f1b6ca0f637bf632d2e,duolingo_hebrew_sentences.tsv
אני לא פותחת את הבירה.,I am not opening the beer.,16,listenTap,60db39e3edafaf5ecaa6fc58f4c85541,duolingo_hebrew_sentences.tsv
אני לא רוצֶה לישון.,I don't want to sleep.,16,translate,74828923026ca543651344728cdad69f,duolingo_hebrew_sentences_2.tsv
אני לא רוקד.,I do not dance.,16,translate,eae31b3f99b46da6ed79fc60be309711,duolingo_hebrew_sentences_2.tsv
אני לא שומע אותךָ.,I don't hear you.,16,translate,76d013a7ba98717b4a68e7b3aca374d6,duolingo_hebrew_sentences.tsv
אני לא שר.,I don't sing.,16,listenTap,16866b2bb4b2a241dd9649b743618d53,duolingo_hebrew_sentences_2.tsv
אני לומד עברית!,I am learning Hebrew!,16,translate,012265c6f3e88502c99adfc27fb6262a,duolingo_hebrew_sentences_2.tsv
אני לוקח את הצלחת שלו.,I am taking his plate.,16,translate,dfa020c414219853bfc1f7a88aaaca26,duolingo_hebrew_sentences.tsv
אני לוקחת אפרסק.,I am taking a peach.,16,translate,6a47702413409b3fca80f2a9404d312c,duolingo_hebrew_sentences.tsv
אני מוכר ואת קונָה.,I sell and you buy.,16,translate,b749d508978f3a047e39a10da62f9a56,duolingo_hebrew_sentences.tsv
אני מוצאת את החתול שלי.,I am finding my cat.,16,listenTap,03d59fdae7febe781917d441e48b033b,duolingo_hebrew_sentences.tsv
אני נותן לה תותים.,I am giving her strawberries.,16,translate,a8fa4c03d5713f96f011742569561185,duolingo_hebrew_sentences.tsv
אני סוגר את המסעדה.,I close the restaurant.,16,translate,e748efdc5bda02ed878d5e1495daa2df,duolingo_hebrew_sentences.tsv
אני סוגר את המסעדה.,I am closing the restaurant.,16,translate,3f2e2ded9729d5dcde82f3affa757ab1,duolingo_hebrew_sentences.tsv
אני עוזב.,I am leaving.,16,translate,2e83845fff99918e17d6c188e619e233,duolingo_hebrew_sentences_2.tsv
אני עושֶה את זה.,I am doing this.,16,translate,46d83eec46cdac0daf566d5e8a06f4be,duolingo_hebrew_sentences.tsv
אני צופֶה במים.,I am watching the water.,16,listenTap,b63d4a2d87abff665b64e77ab7177630,duolingo_hebrew_sentences_2.tsv
אני רואֶה אישה עומדת.,I see a woman standing.,16,translate,fdcf21d250ff85af61585eeee3c9694b,duolingo_hebrew_sentences_2.tsv
אני רושם את זה.,I am writing this down.,16,translate,e2b33f21713bc94c23b202460d67ad91,duolingo_hebrew_sentences.tsv
אני רושמת את המתכון.,I am writing down the recipe.,16,listenTap,288e48bbc46b901734ca76428534520f,duolingo_hebrew_sentences.tsv
אני שוחֶה במים.,I am swimming in the water.,16,listenTap,9cd80a7a910beeb1cae3f58a7bb1db56,duolingo_hebrew_sentences.tsv
אני שוחֶה וכואב לי.,I am swimming and it hurts.,16,listenTap,d479977eef2e7a1898ae6ef02bf298e6,duolingo_hebrew_sentences.tsv
אני שומר אותם.,I am keeping them.,16,translate,be33425ed231fb47d8d38977059f7aa3,duolingo_hebrew_sentences_2.tsv
אני שומר את העגבניה שלךָ.,I am keeping your tomato.,16,translate,df826f51484c54389c2aa9b946b77d3d,duolingo_hebrew_sentences_2.tsv
אני שונאת קפה.,I hate coffee.,16,translate,50d00079b5d6fe9ec50b972135b56e75,duolingo_hebrew_sentences_2.tsv
אני שוקל את זה.,I am considering this.,16,translate,90c1ce07500087e5a569790c8ef70832,duolingo_hebrew_sentences_2.tsv
אני תומך!,I support!,16,translate,cb6635030bfdf14c56e7776d49dbe222,duolingo_hebrew_sentences.tsv
אתה לוקח את הכלב?,Are you taking the dog?,16,listenTap,4f668f0dde6e7a99bbb70e919b5c0573,duolingo_hebrew_sentences.tsv
אתה רושם את זה?,Are you writing this down?,16,listenTap,3b13591f2489447522155fbd15690231,duolingo_hebrew_sentences.tsv
אתם נוגעים במים.,You are touching the water.,16,translate,614d8568739cde95b8ce07185cb2b7aa,duolingo_hebrew_sentences.tsv
אתם קונים את זה?,Are you buying this?,16,translate,15430741329ac1cfa8b5db4745533b81,duolingo_hebrew_sentences.tsv
"האישה אומרת: ""כן!"".","The woman says: ""Yes!"".",16,listenTap,6504895bcd2742228b7effe645d73137,duolingo_hebrew_sentences.tsv
האישה שומעת את הגבר.,The woman is hearing the man.,16,translate,8f0e7c54ca001daec0b37be208072095,duolingo_hebrew_sentences.tsv
האם אתה עובד בדרך?,Are you working on the path?,16,translate,e56a20d2a49610c82c6afab82e15c165,duolingo_hebrew_sentences.tsv
האמא תומכת בילדים שלה.,The mother is supporting her boys.,16,translate,f8338877a4747e9f22e4e975579dc7ed,duolingo_hebrew_sentences.tsv
הברווז שלי נח.,My duck is resting.,16,translate,afd1e0415b61bfc95334ae92de8a744f,duolingo_hebrew_sentences_2.tsv
הברווזים לא שונאים אותנו!,The ducks do not hate us!,16,translate,46a12b5bcaf0efbe42493d16c3a948e5,duolingo_hebrew_sentences_2.tsv
הברווזים קוראים לי?,Are the ducks calling me?,16,translate,77119b25085ed00a9d64f744b574c202,duolingo_hebrew_sentences_2.tsv
הברווזים שוחים במים.,The ducks are swimming in the water.,16,translate,3c4cf34291eae322358b638c71c41c89,duolingo_hebrew_sentences.tsv
הברווזים שוחים.,The ducks are swimming.,16,translate,d2b58ddbf318ca5ec4f9bc57485e8dce,duolingo_hebrew_sentences.tsv
הגבר שוקל את זה.,The man is considering this.,16,translate,0999a896149300dd3bc3ccf4f7aa220b,duolingo_hebrew_sentences_2.tsv
הדג שוחֶה במים.,The fish is swimming in the water.,16,listenTap,194902412289c746688a99550ab8d9c6,duolingo_hebrew_sentences.tsv
הוא כועס.,He is angry.,16,translate,9f33e3c3448430a97badd8754c7c412c,duolingo_hebrew_sentences_2.tsv
הוא לא הולך בדרך שלנו.,He is not walking our way.,16,translate,e8573799f21135f82b835157f2221e21,duolingo_hebrew_sentences.tsv
הוא לא יוצר את זה.,He is not creating this.,16,listenTap,21d2e082ffd715245cd8e5ce65593559,duolingo_hebrew_sentences_2.tsv
הוא נותן לי אוכל.,He gives me food.,16,translate,afe5c0a5675125cace5e8f29d2e53382,duolingo_hebrew_sentences.tsv
הוא פותח עיתון.,He opens a newspaper.,16,translate,a326fd0168cf04bd9cbe131a81cecab7,duolingo_hebrew_sentences.tsv
הוא שר.,He is singing.,16,translate,596ccdb0a47e2b5c402ba6fec04e377a,duolingo_hebrew_sentences_2.tsv
החתול נוגע בנחש.,The cat is touching a snake.,16,translate,18294a7f42eb88051ff28d8185cdd265,duolingo_hebrew_sentences.tsv
החתול שלי עוזב אותי.,My cat is leaving me.,16,translate,ed38112026fb1bec6743a4f79cffe28a,duolingo_hebrew_sentences_2.tsv
החתולים שומרים את החלב שלהם.,The cats are keeping their milk.,16,translate,63e905bed93421d5986f6ada5192c481,duolingo_hebrew_sentences_2.tsv
היא שוחָה.,She is swimming.,16,translate,dd108c9cb9a1af6c1275d1d3396b9fad,duolingo_hebrew_sentences.tsv
הילדה גדֵלה.,The girl is growing up.,16,translate,0ea40108e7d4a9494b33e756c67dd955,duolingo_hebrew_sentences_2.tsv
הילדה חוזרת.,The girl is returning.,16,translate,88dea2fab52cb492f94599deb79f6a30,duolingo_hebrew_sentences_2.tsv
הילדה ישנה בלילה.,The girl sleeps at night.,16,translate,f57dc46a9ef32ad4c348c96d370544aa,duolingo_hebrew_sentences.tsv
הילדה ישנה.,The girl is sleeping.,16,translate,7a637456b5cfdb1b199149876cf66e16,duolingo_hebrew_sentences.tsv
הילדה לא עושָה את זה.,The girl isn't doing this.,16,translate,cc46ab3f562bf746fb4f9ae9325ab388,duolingo_hebrew_sentences.tsv
הילדים גונבים עוגיות.,The boys are stealing cookies.,16,translate,682edb81cf17d79fd09a057809e697ee,duolingo_hebrew_sentences_2.tsv
הילדים כועסים?,Are the boys angry?,16,translate,da0092f3294b04e19c5c66ae9346ed29,duolingo_hebrew_sentences_2.tsv
