hebrew,hebrew_alt,english,transliteration,skill,page
מגדל,,"I, You, He, It (m.s - pres.)",m'gadel,Possessives 2,23
מגדלת,,"I, You, She, It (f.s - pres.)",m'gadelet,Possessives 2,23
מגדלים,,"We, You, They (m.p - pres.)",m'gad'lim,Possessives 2,23
מגדלות,,"We, You, They (f.p- pres.)",m'gad'lot,Possessives 2,23
לסמן,,"To Signal, Indicate, Mark (Piel)",l'samen,Possessives 2,23
מסמן,,"I, You, He, It (m.s - pres.)",m'samen,Possessives 2,23
מסמנת,,"I, You, She, It (f.s - pres.)",m'samenet,Possessives 2,23
מסמנים,,"We, You, They (m.p - pres.)",m'sam'nim,Possessives 2,23
מסמנות,,"We, You, They (f.p- pres.)",m'sam'not,Possessives 2,23
לאחל,,"To Wish, Congratulate (Piel)",l'akhel,Possessives 2,23
מאחל,,"I, You, He, It (m.s - pres.)",m'akhel,Possessives 2,23
מאחלת,,"I, You, She, It (f.s - pres.)",m'akhelet,Possessives 2,23
מאחלים,,"We, You, They (m.p - pres.)",m'akhalim,Possessives 2,24
מאחלות,,"We, You, They (f.p- pres.)",m'akhalot,Possessives 2,24
לערבב,,"To Stir, Mix, Mess Up (Piel)",l'ar'bev,Possessives 2,24
מערבב,,"I, You, He, It (m.s - pres.)",m'ar'bev,Possessives 2,24
מערבבת,,"I, You, She, It (f.s - pres.)",m'ar'bevet,Possessives 2,24
מערבבים,,"We, You, They (m.p - pres.)",m'ar'b'vim,Possessives 2,24
מערבבות,,"We, You, They (f.p- pres.)",m'ar'b'vot,Possessives 2,24
לכבד,,"To Respect, Honour (Piel)",l'khabed,Possessives 2,24
מכבד,,"I, You, He, It (m.s - pres.)",m'khabed,Possessives 2,24
מכבדת,,"I, You, She, It (f.s - pres.)",m'khabedet,Possessives 2,24
מכבדים,,"We, You, They (m.p - pres.)",m'khab'dim,Possessives 2,24
מכבדות,,"We, You, They (f.p- pres.)",m'khab'dot,Possessives 2,24
לסדר,,"To Arrange, Organize, Tidy (Piel)",l'sader,Possessives 2,24
מסדר,,"I, You, He, It (m.s - pres.)",m'sader,Possessives 2,24
מסדרת,,"I, You, She, It (f.s - pres.)",m'saderet,Possessives 2,24
מסדרים,,"We, You, They (m.p - pres.)",m'sad'rim,Possessives 2,24
מסדרות,,"We, You, They (f.p- pres.)",m'sad'rot,Possessives 2,24
לייבש,,To Dry (Up) (Transitive) (Piel),l'yabesh,Possessives 2,24
מייבש,,"I, You, He, It (m.s - pres.)",m'yabesh,Possessives 2,24
מייבשת,,"I, You, She, It (f.s - pres.)",m'yabeshet,Possessives 2,24
מייבשים,,"We, You, They (m.p - pres.)",m'yab'shim,Possessives 2,24
מייבשות,,"We, You, They (f.p- pres.)",m'yab'shot,Possessives 2,24
לחמם,,"To Heat, Warm Up (Piel)",l'khamem,Possessives 2,24
מחמם,,"I, You, He, It (m.s - pres.)",m'khamem,Possessives 2,24
מחממת,,"I, You, She, It (f.s - pres.)",m'khamemet,Possessives 2,24
מחממים,,"We, You, They (m.p - pres.)",m'khamemim,Possessives 2,24
מחממות,,"We, You, They (f.p- pres.)",m'khamemot,Possessives 2,24
מייבא,,To Import (Piel),m'yabe,Possessives 2,24
מייבא,,"I, You, He, It (m.s - pres.)",m'yabe,Possessives 2,24
מייבאת,,"I, You, She, It (f.s - pres.)",m'yabet,Possessives 2,24
מייבאים,,"We, You, They (m.p - pres.)",m'yabim,Possessives 2,24
מייבאות,,"We, You, They (f.p- pres.)",m'yabot,Possessives 2,24
למלא,,"To Fill (Out), Fulfil (Piel)",l'male,Possessives 2,24
ממלא,,"I, You, He, It (m.s - pres.)",m'male,Possessives 2,24
ממלאה,,"I, You, She, It (f.s - pres.)",m'mal'ah,Possessives 2,24
ממלאים,,"We, You, They (m.p - pres.)",m'mal'im,Possessives 2,24
ממלאות,,"We, You, They (f.p- pres.)",m'mal'ot,Possessives 2,24
לבזבז,,"To Waste, Squander (Piel)",l'vaz'bez,Possessives 2,24
מבזבז,,"I, You, He, It (m.s - pres.)",m'vaz'bez,Possessives 2,24
מבזבזת,,"I, You, She, It (f.s - pres.)",m'vaz'bezet,Possessives 2,24
מבזבזים,,"We, You, They (m.p - pres.)",m'vak'b'zim,Possessives 2,24
מבזבזות,,"We, You, They (f.p- pres.)",m'vaz'b'zot,Possessives 2,24
לבקר,)-ב( )את(,To Visit (b-); Criticise (at) (Piel),l'vaker (-ב) (תא),Possessives 2,24
מבקר,,"I, You, He, It (m.s - pres.)",m'vaker,Possessives 2,24
מבקרת,,"I, You, She, It (f.s - pres.)",m'vakeret,Possessives 2,24
מבקרים,,"We, You, They (m.p - pres.)",m'vak'rim,Possessives 2,24
מבקרות,,"We, You, They (f.p- pres.)",m'vak'rot,Possessives 2,24
לקבל,,"To Receive, Get; Accept (Piel)",l'kabel,Possessives 2,24
מקבל,,"I, You, He, It (m.s - pres.)",m'kabel,Possessives 2,24
מקבלת,,"I, You, She, It (f.s - pres.)",m'kabelet,Possessives 2,24
מקבלים,,"We, You, They (m.p - pres.)",m'kab'lim,Possessives 2,24
מקבלות,,"We, You, They (f.p- pres.)",m'kab'lot,Possessives 2,24
לרחם,)על(,"To Have Mercy (al), Pity (Piel)",l'rakhem (al),Possessives 2,24
מרחם,,"I, You, He, It (m.s - pres.)",m'rakhem,Possessives 2,24
מרחמת,,"I, You, She, It (f.s - pres.)",m'rakhemet,Possessives 2,25
מרחמים,,"We, You, They (m.p - pres.)",m'rakhamim,Possessives 2,25
מרחמות,,"We, You, They (f.p- pres.)",m'rakhamot,Possessives 2,25
לקנא,)ב-(,"To Be Jealous Of (b-), Envy (Piel)",l'kane (b-),Possessives 2,25
מקנא,,"I, You, He, It (m.s - pres.)",m'kane,Possessives 2,25
מקנאה,,"I, You, She, It (f.s - pres.)",m'kan'ah,Possessives 2,25
מקנאים,,"We, You, They (m.p - pres.)",m'kan'im,Possessives 2,25
מקנאות,,"We, You, They (f.p- pres.)",m'kan'ot,Possessives 2,25
לטפס,)על(,To Climb (al) (Piel),l'tapes (al),Possessives 2,25
מטפס,,"I, You, He, It (m.s - pres.)",m'tapes,Possessives 2,25
מטפסת,,"I, You, She, It (f.s - pres.)",m'tapeset,Possessives 2,25
מטפסים,,"We, You, They (m.p - pres.)",m'tap'sim,Possessives 2,25
מטפסות,,"We, You, They (f.p- pres.)",m'tap'sot,Possessives 2,25
לנצח,,"To Win, Overcome, Beat (Piel)",l'natzeakh,Possessives 2,25
מנצח,,"I, You, He, It (m.s - pres.)",m'natzeakh,Possessives 2,25
מנצחת,,"I, You, She, It (f.s - pres.)",m'natzakhat,Possessives 2,25
מנצחים,,"We, You, They (m.p - pres.)",m'natz'khim,Possessives 2,25
מנצחות,,"We, You, They (f.p- pres.)",m'natz'khot,Possessives 2,25
לאמן,,"To Train, Coach (Someone) (Piel)",l'amen,Possessives 2,25
מאמן,,"I, You, He, It (m.s - pres.)",m'amen,Possessives 2,25
מאמנת,,"I, You, She, It (f.s - pres.)",m'amenet,Possessives 2,25
מאמנים,,"We, You, They (m.p - pres.)",m'am'nim,Possessives 2,25
מאמנות,,"We, You, They (f.p- pres.)",m'am'not,Possessives 2,25
לשקר,,"To Lie, Deceive, Tell Lies (Piel)",l'shaker,Possessives 2,25
משקר,,"I, You, He, It (m.s - pres.)",m'shaker,Possessives 2,25
משקרת,,"I, You, She, It (f.s - pres.)",m'shakeret,Possessives 2,25
משקרים,,"We, You, They (m.p - pres.)",m'shak'rim,Possessives 2,25
משקרות,,"We, You, They (f.p- pres.)",m'shak'rot,Possessives 2,25
לאחר,,To Be Late (Piel),l'akher,Possessives 2,25
מאחר,,"I, You, He, It (m.s - pres.)",m'akher,Possessives 2,25
מאחרת,,"I, You, She, It (f.s - pres.)",m'akheret,Possessives 2,25
מאחרים,,"We, You, They (m.p - pres.)",m'akharim,Possessives 2,25
מאחרות,,"We, You, They (f.p- pres.)",m'akharot,Possessives 2,25
לחכות,)ל-(,"To Wait For (l-), Await (Piel)",l'khakot (l-),Possessives 2,25
מחכה,,"I, You, He, It (m.s - pres.)",m'khakeh,Possessives 2,25
מחכה,,"I, You, She, It (f.s - pres.)",m'khakah,Possessives 2,25
מחכים,,"We, You, They (m.p - pres.)",m'khakim,Possessives 2,25
מחכות,,"We, You, They (f.p- pres.)",m'khakot,Possessives 2,25
לספק,,"To Satisfy; Supply, Provide (Piel)",l'sapek,Possessives 2,25
מספק,,"I, You, He, It (m.s - pres.)",m'sapek,Possessives 2,25
מספקת,,"I, You, She, It (f.s - pres.)",m'sapeket,Possessives 2,25
מספקים,,"We, You, They (m.p - pres.)",m'sap'kim,Possessives 2,25
מספקות,,"We, You, They (f.p- pres.)",m'sap'kot,Possessives 2,25
לסיים,,"To Finish, Complete (Piel)",l'sayem,Possessives 2,25
מסיים,,"I, You, He, It (m.s - pres.)",m'sayem,Possessives 2,25
מסיימת,,"I, You, She, It (f.s - pres.)",m'sayemet,Possessives 2,25
מסיימים,,"We, You, They (m.p - pres.)",m'say'mim,Possessives 2,25
מסיימות,,"We, You, They (f.p- pres.)",m'say'mot,Possessives 2,25
לשכנע,,"To Convince, Persuade (Piel)",l'shakh'nea,Possessives 2,25
משכנע,,"I, You, He, It (m.s - pres.)",m'shakh'nea,Possessives 2,25
משכנעת,,"I, You, She, It (f.s - pres.)",m'shakh'na'at,Possessives 2,25
משכנעים,,"We, You, They (m.p - pres.)",m'shakh'n'im,Possessives 2,25
משכנעות,,"We, You, They (f.p- pres.)",m'shakh'n'ot,Possessives 2,25
לאבד,,"To Lose, Destroy (Piel)",l'abed,Possessives 2,25
מאבד,,"I, You, He, It (m.s - pres.)",m'abed,Possessives 2,26
מאבדת,,"I, You, She, It (f.s - pres.)",m'abedet,Possessives 2,26
מאבדים,,"We, You, They (m.p - pres.)",m'ab'dim,Possessives 2,26
מאבדות,,"We, You, They (f.p- pres.)",m'ab'dot,Possessives 2,26
לצלם,,"To Photograph, Shoot; Film (Piel)",l'tzalem,Possessives 2,26
מצלם,,"I, You, He, It (m.s - pres.)",m'tzalem,Possessives 2,26
מצלמת,,"I, You, She, It (f.s - pres.)",m'tzalemet,Possessives 2,26
מצלמים,,"We, You, They (m.p - pres.)",m'tzal'mim,Possessives 2,26
מצלמות,,"We, You, They (f.p- pres.)",m'tzal'mot,Possessives 2,26
לאמץ,,To Adopt (Piel),l'ametz,Possessives 2,26
מאמץ,,"I, You, He, It (m.s - pres.)",m'ametz,Possessives 2,26
מאמצת,,"I, You, She, It (f.s - pres.)",m'ametzet,Possessives 2,26
מאמצים,,"We, You, They (m.p - pres.)",m'am'tzim,Possessives 2,26
מאמצות,,"We, You, They (f.p- pres.)",m'am'tzot,Possessives 2,26
לפחד,,To Be Scared/Afraid Of... (Piel),l'fakhed,Possessives 2,26
מפחד,,"I, You, He, It (m.s - pres.)",m'fakhed,Possessives 2,26
מפחדת,,"I, You, She, It (f.s - pres.)",m'fakhedet,Possessives 2,26
מפחדים,,"We, You, They (m.p - pres.)",m'fakhadim,Possessives 2,26
מפחדות,,"We, You, They (f.p- pres.)",m'fakhadot,Possessives 2,26
לאשר,,"To Approve, Confirm (Piel)",l'asher,Possessives 2,26
מאשר,,"I, You, He, It (m.s - pres.)",m'asher,Possessives 2,26
מאשרת,,"I, You, She, It (f.s - pres.)",m'asheret,Possessives 2,26
מאשרים,,"We, You, They (m.p - pres.)",m'ash'rim,Possessives 2,26
מאשרות,,"We, You, They (f.p- pres.)",m'ash'rot,Possessives 2,26
לגלות,,To Discover (Piel),l'galot,Possessives 2,26
מגלה,,"I, You, He, It (m.s - pres.)",m'galeh,Possessives 2,26
מגלה,,"I, You, She, It (f.s - pres.)",m'galah,Possessives 2,26
מגלים,,"We, You, They (m.p - pres.)",m'galim,Possessives 2,26
מגלות,,"We, You, They (f.p- pres.)",m'galot,Possessives 2,26
לגלח,,To Shave (Transitive) (Piel),l'galeakh,Possessives 2,26
מגלח,,"I, You, He, It (m.s - pres.)",m'galeakh,Possessives 2,26
מגלחת,,"I, You, She, It (f.s - pres.)",m'galakhat,Possessives 2,26
מגלחים,,"We, You, They (m.p - pres.)",m'gal'khim,Possessives 2,26
מגלחות,,"We, You, They (f.p- pres.)",m'gal'khot,Possessives 2,26
לחדש,,"To Renew, Innovate, Modernis (Piel)",l'khadesh,Possessives 2,26
מחדש,,"I, You, He, It (m.s - pres.)",m'khadesh,Possessives 2,26
מחדשת,,"I, You, She, It (f.s - pres.)",m'khadeshet,Possessives 2,26
מחדשים,,"We, You, They (m.p - pres.)",m'khad'shim,Possessives 2,26
מחדשות,,"We, You, They (f.p- pres.)",m'khad'shot,Possessives 2,26
לברך,,"To Bless, Congratulate, Greet (Piel)",l'varekh,Possessives 2,26
מברך,,"I, You, He, It (m.s - pres.)",m'varekh,Possessives 2,26
מברכת,,"I, You, She, It (f.s - pres.)",m'varekhet,Possessives 2,26
מברכים,,"We, You, They (m.p - pres.)",m'var'khim,Possessives 2,26
מברכות,,"We, You, They (f.p- pres.)",m'var'khot,Possessives 2,26
לתאר,,"To Describe, Imagine (Piel)",l'taer,Possessives 2,26
מתאר,,"I, You, He, It (m.s - pres.)",m'ta'er,Possessives 2,26
מתארת,,"I, You, She, It (f.s - pres.)",m'ta'eret,Possessives 2,26
מתארים,,"We, You, They (m.p - pres.)",m'ta'arim,Possessives 2,26
מתארות,,"We, You, They (f.p- pres.)",m'ta'arot,Possessives 2,26
לתקן,,"To Fix, Repair, Correct (Piel)",l'taken,Possessives 2,26
מתקן,,"I, You, He, It (m.s - pres.)",m'taken,Possessives 2,26
מתקנת,,"I, You, She, It (f.s - pres.)",m'takenet,Possessives 2,26
מתקנים,,"We, You, They (m.p - pres.)",m'tak'nim,Possessives 2,26
מתקנות,,"We, You, They (f.p- pres.)",m'tak'not,Possessives 2,26
יום,ימים,Day,yom yamim,Time,27
יום ראשון,ימי ראשון,Sunday,yom ri'shon,Time,27
יום שני,,Monday,yom sheni,Time,27
יום שלישי,,Tuesday,yom sh'lishi,Time,27
יום רביעי,,Wednesday,yom r'vi'i,Time,27
יום חמישי,,Thursday,yom khamishi,Time,27
יום שישי,,Friday,yom shishi,Time,27
זמן,זמנים,Time,z'man z'manim,Time,27
שבוע,שבועות,Week,shavu'a shavu'ot,Time,27
חודש,חודשים,Month,khodesh khodashim,Time,27
לוח שנה,לוחות שנה,Calendar,luakh shanah lukhot shanah,Time,27
תאריך,תאריכים,Date,ta'arikh ta'arikhim,Time,27
אביב,אביבים,Spring,aviv avivim,Time,27
חורף,חורפים,Winter,khoref khorafim,Time,27
סתיו,סתיווים,"Autumn, Fall",stav stavim,Time,27
קיץ קיצים,,Summer,kayitz keitzim,Time,27
חצות,,Midnight,khatzot,Time,27
יום הולדת,ימי הולדת,Birthday,yom huledet y'mei huledet,Time,27
רגע,רגעים,Moment,rega rega'im,Time,27
עשור,עשורים,Decade,asor asorim,Time,27
עידן,,Era,idan,Time,27
גיל,גילים,Age,gil gilim,Time,27
דור,דורות,Generation,dor dorot,Time,27
שנתיים,,Two Years,sh'natiyim,Time,27
חודשיים,,Two Months,khod'shayim,Time,27
שבועיים,,Two Weeks,sh'vu'ayim,Time,27
יומיים,,Two Days,yomayim,Time,27
שעתיים,,Two Hours,sha'atayim,Time,27
מהלך,מהלכים,"Process, Development",mahalakh mahalakhim,Time,27
הווה,,"Present (Time), Now",hoveh,Time,27
אחר הצהריים,,Afternoon,akhar hatzaharayim,Time,27
ינואר,,January,yanu'ar,Time,27
פברואר,,February,febru'ar,Time,27
מרץ,,March,mertz,Time,27
אפריל,,April,april,Time,27
מאי,,May,ma'i,Time,27
יוני,,June,yuni,Time,27
יולי,,July,yuli,Time,27
אוגוסט,,August,ogust,Time,27
ספטמבר,,September,september,Time,27
אוקטובר,,October,ok'tober,Time,27
נובמבר,,November,november,Time,27
דצמבר,,December,detzember,Time,27
שבת שבתות,,"Saturday, Shabbat",yom shabat yom shabatot,Time,27
שעה,שעות,Hour,sha'ah sha'ot,Time,27
דקה,דקות,Minute,dakah dakot,Time,27
שניה,שניות,Second,sh'niyah sh'niyot,Time,27
עונה,עונות,"Season, Period",onah onot,Time,27
תקופה,תקופות,"Period, Era; Season",t'kufah t'kufot,Time,27
שנה,שנים,Year,shanah shanim,Time,27
מאה,מאות,Century,me'ah me'ot,Time,28
מסיבה,מסיבות,"Party, Gathering",m'sibah m'sibot,Time,28
הבאה,,"Next, Nearest, Coming (m.s)",habah,Time,28
היום,,Today,hayom,Time,28
מחר,,Tomorrow,makhar,Time,28
אתמול,,Yesterday,etmol,Time,28
קצת,,A Bit,k'tzat,Time,28
תמיד,,Always,tamid,Time,28
עכשיו,,Now,akhshav,Time,28
מחרתיים,,In Two Days,makharatayim,Time,28
כיום,,Nowadays,kayom,Time,28
שלשום,,The Day Before Yesterday,shil'shom,Time,28
עד,,"Till, Until; To, As Far As",ad,Time,28
אף פעם,,Never,af pa'am,Time,28
עייף,,Tired,ayef,Time,28
רגיל,,"Regular, Ordinary",ragil,Time,28
אמיתי,,"Real, True",amiti,Time,28
מיוחד,,Special,m'yukhad,Time,28
זקן,,Old (People),zaken,Time,28
צעיר,,Young,tza'ir,Time,28
פתוח,,Open,patuakh,Time,28
סגור,,Closed,sagur,Time,28
נקי,,Clean,naki,Time,28
מלוכלך,,Dirty,m'lukh'lakh,Time,28
חשוב,,Important,khashuv,Time,28
מרכזי,,Central,mer'kazi,Time,28
זול,,Cheap,zol,Time,28
יקר,,Expensive,yakar,Time,28
חזק,,Strong,khazak,Time,28
חלש,,Weak,khalash,Time,28
עני,,Poor,ani,Time,28
עשיר,,Rich,ashir,Time,28
אפשרי,,Possible,ef'shari,Time,28
בלתי אפשרי,,Impossible,bil'ti ef'shari,Time,28
נהדר,,"Wonderful, Great",nehedar,Time,28
פרטי,,Private,p'rati,Time,28
חי,,Alive,khai,Time,28
נחמד,,Nice,nekh'mad,Time,28
הכרחי,,Necessary,hekh'rekhi,Time,28
עצמאי,,Independent,atz'ma'i,Time,28
אחראי,,Responsible,akh'rai,Time,28
חופשי,,Free,khofshi,Time,28
פשוט,,Simple,pashut,Time,28
מצוין,,Excellent,m'tzu'yan,Time,28
מגעיל,,"Disgusting, Nasty",mag'il,Time,28
מושלם,,Perfect,mush'lam,Time,28
שגוי,,Incorrect,shaguy,Time,28
נכון,,Correct,nakhon,Time,28
משעמם,,Boring,m'sha'amem,Time,28
מעניין,,Interesting,m'an'yen,Time,28
רציני,,Serious,r'tzini,Time,29
מפורסם,,Famous,m'fur'sam,Time,29
שלילי,,Negative,sh'lili,Time,29
חיובי,,Positive,khiyuvi,Time,29
קשה,,"Hard, Difficult",khasheh,Time,29
קל,,"Light, Easy",kal,Time,29
יעיל,,Efficient,ya'il,Time,29
נוח,,Comfortable,noakh,Time,29
מקצועי,,Professional,mik'tzoi,Time,29
צבאי,,Military,tz'va'i,Time,29
מוכר,,Familiar,mukar,Time,29
רב,,Many,rav,Time,29
רזה,,Thin,razeh,Time,29
שמן,,"Fat, Chubby",shamen,Time,29
משך,,Duration,meshekh,Adverbs,29
אופן,אופנים,"Method, Mode, Technique",ofen ofanim,Adverbs,29
באופן,,"Manner, Way",b'ofen,Adverbs,29
פעם,פעמים,"Once, One Time",pa'am p'amim,Adverbs,29
שם,,There (Location),sham,Adverbs,29
פה,,Here (Location),poh,Adverbs,29
מאוד,,Very,m'od,Adverbs,29
עוד,,More,od,Adverbs,29
כאן,,Here (Location),ka'n,Adverbs,29
די,,Enough,dai,Adverbs,29
לעיתים קרובות,,"Often, Frequently",l'itim k'rovot,Adverbs,29
לעיתים רחוקות,,"Rarely, Infrequently",l'itim r'khokot,Adverbs,29
בכל זאת,,"Anyway, Nevertheless",b'khol zo't,Adverbs,29
באמת,,"Really, Truly",be'emet,Adverbs,29
שוב,,Again,shuv,Adverbs,29
לפעמים,,Sometimes,lif'amim,Adverbs,29
לפחות,,At Least,l'fakhot,Adverbs,29
כמו תמיד,,As Always,k'mo tamid,Adverbs,29
אחרת,,"Differently, Otherwise",akheret,Adverbs,29
בכל אופן,,Anyway,b'khol ofen,Adverbs,29
לבד,,Alone,l'vad,Adverbs,29
בעיקר,,"Mostly, Mainly",b'ikar,Adverbs,29
אחר כך,,"Later, Afterwards",akhar kakh,Adverbs,29
בדרך כלל,,"Usually, Normally, Generally",b'derekh k'lal,Adverbs,29
מספיק,,Enough,mas'pik,Adverbs,29
בקרוב,,"Soon, Shortly",b'karov,Adverbs,29
בינתיים,,"In The Meantime, Meanwhile",bein'tayim,Adverbs,29
כמעט,,"Almost, Nearly",kim'at,Adverbs,29
מאוחר,,Late; Later,m'ukhar,Adverbs,29
מוקדם,,Early,muk'dam,Adverbs,29
במיוחד,,Especially; Mainly,bim'yukhad,Adverbs,29
סוף סוף,,"Finally, At Last",sof sof,Adverbs,29
לא בהכרח,,Not Necessarily,lo b'hekh'reakh,Adverbs,29
בערך,,"Approximately, Sort Of, Roughly",b'erekh,Adverbs,29
בדיוק,,"Exactly, Precisely",b'diyuk,Adverbs,29
בקלות,,Easily,b'kalut,Adverbs,29
לגמרי,,"Completely, Entirely",l'gam'rei,Adverbs,30
בקושי,,"Hardly, Barely",b'koshi,Adverbs,30
לאו דווקא,,Not Necessarily (Aramaic),la'v dav'ka,Adverbs,30
באופן כללי,,"In General, Generally",b'ofen k'lali,Adverbs,30
סביר להניח,,"Probably, Safe to Assume",savir l'haniakh,Adverbs,30
בכל מקום,,Everywhere,b'khol makom,Adverbs,30
ממש,,"Really, Very, Truly",mamash,Adverbs,30
הרחק,,Far Away,har'khek,Adverbs,30
כרגע,,"Just Now, Right Now, At The Moment",karega,Adverbs,30
בבירור,,Clearly,b'verur,Adverbs,30
לאט,,Slowly,l'at,Adverbs,30
מהר,,Quickly,maher,Adverbs,30
מיד,,"Immediately, Promptly",miyad,Adverbs,30
ביחד,,Together,b'yakhad,Adverbs,30
כל כך,,"So, So Much/Many",kol kakh,Adverbs,30
בהחלט,,"Definitely, Certainly",b'hekh'let,Adverbs,30
לאחרונה,,"Lately, Recently",la'akharonah,Adverbs,30
כמו,,"Like, As (Prep)",k'mo,Adverbs,30
בן,בנים,"Son, Boy",ben banim,Family,30
אח,אחים,Brother,akh akhim,Family,30
הורה,הורים,Parent,horeh horim,Family,30
בעל,בעלים,Husband,ba'al b'alim,Family,30
שם משפחה,שמות משפחה,Surname,shem mish'pakhah sh'mot mish'pakhah,Family,30
שם פרטי,,First Name,shem p'rati,Family,30
נישואין,נישואים,Marriage,nisu'in nisu'im,Family,30
סבא,סבים,Grandfather,saba sabim,Family,30
נכד,נכדים,Grandson,nekhed n'khadim,Family,30
דוד,דודים,Uncle,dod dodim,Family,30
בן דוד,בני דוד,Cousin (m),ben dod b'nei dod,Family,30
חתן,חתנים,Groom,khatan khatanim,Family,30
בן זוג בני זוג,,Partner (m),ben zug b'nei zug,Family,30
אחיין,אחיינים,Nephew,akh'yan akh'yanim,Family,30
תינוק,תינוקות,"Baby, Infant",tinok tinokot,Family,30
חיי,חיים,Life,khai khayim,Family,30
בת,בנות,"Daughter, Girl",bat banot,Family,30
אחות,אחיות,Sister,akhot akhayot,Family,30
משפחה,משפחות,Family,mish'pakhah mish'pakhot,Family,30
אישה,נשים,Wife; Woman,ishah nashim,Family,30
סבתא,סבתות,Grandmother,sav'ta sav'tot,Family,30
נכדה,נכדות,Granddaughter,nekh'dah n'khadot,Family,30
חתונה,חתונות,Wedding,khatunah khatunot,Family,30
דודה,דודות,Aunt,dodah dodot,Family,30
בת דודה בנות דודות,,Cousin (f),bat dodah b'not dodot,Family,30
כלה,כלות,Bride,kalah kalot,Family,30
בת זוג,בנות זוג,Partner (f),bat-zug banot-zug,Family,30
אחיינית,אחייניות,Niece,akh'yanit akh'yaniyot,Family,30
בית,בתים,"House, Home",bayit batim,Home,31
מפתח,מפתחות,Key,maf'teakh maf't'khot,Home,31
כיסא,כיסאות,Chair,kise kis'ot,Home,31
שולחן,שולחנות,Table,shul'khan shul'khanot,Home,31
שירותים,,Toilet,sherutim,Home,31
חלון,חלונות,Window,khalon khalonot,Home,31
חדר,חדרים,Room,kheder khadarim,Home,31
מזגן,מזגנים,Air-Conditioner,maz'gan maz'ganim,Home,31
צעצוע,צעצועים,Toy,tza'atzu'a tza'atzu'im,Home,31
אור,אורות,Light,or orot,Home,31
גג,גגות,Roof,gag gagot,Home,31
דוד,דוודים,Boiler,dud d'vadim,Home,31
בניין,בניינים,Building,bin'yan bin'yanim,Home,31
קיר,קירות,Wall,kir kirot,Home,31
חדר שינה,חדרי שינה,Bedroom,kheder shenah khad'rei shenah,Home,31
מרתף,מרתפים,"Basement, Cellar",mar'tef mar't'fim,Home,31
שער,שערים,Gate,sha'ar sh'arim,Home,31
כלי עבודה,,"Tool, Instrument",k'li avodah,Home,31
רהיט,רהיטים,A Piece of Furniture,rahit rahitim,Home,31
סלון,סלונים,"Living Room, Lounge",salon salonim,Home,31
מכשיר מכשירים,,"Appliance, Instrument",makh'shir makh'shirim,Home,31
שטיח,שטיחים,"Carpet, Rug",shatiakh sh'tikhim,Home,31
חדר אורחים,חדרי אורחים,"Guestroom, Lounge",kheder or'khim khad'rei or'khim,Home,31
חדר אוכל,חדרי אוכל,Dining Room,khadar okhel khad'rei okhel,Home,31
וילון,וילונות,Curtain,vilon vilonot,Home,31
ארון,ארונות,"Closet, Cupboard",aron aronot,Home,31
שואב אבק,שואבי אבק,Vacuum,sho'ev avak sho'vei avak,Home,31
כלי,כלים,"Dish; Instrument, Tool",k'li kelim,Home,31
ברז,ברזים,"Tap, Faucet",berez b'razim,Home,31
כיור,כיורים,"Sink, Basin",kiyor kiyorim,Home,31
סמרטוט סמרטוטים,,Rag,s'mar'tut s'mar'tutim,Home,31
שכן,שכנים,Neighbour (m),shakhen sh'khenim,Home,31
מקלט,מקלטים,"Shelter, Refuge",mik'lat mik'latim,Home,31
מטאטא,מטאטאים,Broom,mat'ate mat'at'im,Home,31
מקרר,מקררים,Refrigerator,m'karer m'kar'rim,Home,31
מיטה,מיטות,Bed,mitah mitot,Home,31
ספה,ספות,"Sofa, Couch",sapah sapot,Home,31
מדרגה,מדרגות,"Stair, Step",madregah mad'regot,Home,31
דירה,דירות,"Apartment, Flat",dirah dirot,Home,31
דלת,דלתות,Door,delet d'lalot,Home,31
אמבטיה,אמבטיות,Bath(tub),am'bat'yah am'bat'yot,Home,31
מנורה,מנורות,Lamp,m'norah m'norot,Home,31
מרפסת,מרפסות,"Balcony, Porch",mir'peset mir'pasot,Home,31
מראה,מראות,Mirror,mar'ah mar'ot,Home,31
כתובת,כתובות,Address,k'tovet k'tovot,Home,31
רצפה,רצפות,Floor,ritz'pah r'tzafot,Home,31
תקרה,תקרות,Ceiling,tik'rah tik'rot,Home,31
עליית גג,עליות גג,Attic,aliyat gag aliyot gag,Home,31
כרית,כריות,Pillow,karit k'riyot,Home,31
שמיכה,שמיכות,"Blanket, Quilt",s'mikhah s'mikhot,Home,31
גינה,גינות,Garden,ginah ginot,Home,31
חצר,חצרות,Yard,khatzer khatzerot,Home,32
כביסה,כביסות,Laundry; Washing,k'visah k'visot,Home,32
מכונת כביסה,מכונות כביסה,Washing Machine,m'khonat k'visah m'khunot k'visah,Home,32
שכנה,שכנות,Neighbour (f),sh'khenah sh'khenot,Home,32
אשפה,אשפות,"Garbage, Rubbish",ash'pah ash'pot,Home,32
מעלית,מעליות,"Elevator, Lift",ma'alit ma'aliyot,Home,32
לנקות,,"To Clean, Tidy Up (Piel)",l'nakot,Home,32
לעבור,,To Pass; Overtake (Qal),la'avor,Home,32
לשאוב,,"To Pump, Draw (Liquid/Gas) (Qal)",lish'ov,Home,32
לשטף,,"To Wash, Rinse (Qal)",lish'tof,Home,32
