hebrew,english,transliteration,skill,english_guidebook,english_pdf,skill_url,transliteration_key,lexeme_id,related_lexemes
כלבתה,,,Possessives 2,,,Possessives-2,klbth,ffe8908bbde82a2f2c7811d111413b4f,
חולצותיי,,,Possessives 2,,,Possessives-2,khvltsvtyy,06cf8f979191359d8fcbf0eba93bdd39,
ציפורייך,,,Possessives 2,,,Possessives-2,tsypvryyk,257ebd1945ec7ecfb713b8aa5645c5e8,
חולצתו,,,Possessives 2,,,Possessives-2,khvltstv,8aae684f2521be6427355adeb4d25fed,
כלבתי,,,Possessives 2,,,Possessives-2,klbty,c9d0bb1f0f1db7395f7bfceac8154db8,
ילדותייךָ,,,Possessives 2,,,Possessives-2,yldvtyyka,566930470ba81aeb42b388227ffdce0d,
חולצתנו,,,Possessives 2,,,Possessives-2,khvltstnv,3b6cc8e8966e4e9b0f5544a8718cfe56,
ציפוריכם,,,Possessives 2,,,Possessives-2,tsypvrykm,f5415a9a1497b19af5778246fb13e118,
כלביהם,,,Possessives 2,,,Possessives-2,klbyhm,ca9aa38c59a9cb55800489c91481b748,
ברכי,,,Imperative 1,,,Imperative-1,brky,16ec0637a9f63db3c8d81b2a6415253f,
מהספר,,,Imperative 1,,,Imperative-1,mhspr,b235e047cd9772d00db2866fb3d29c1a,
תקנו,,,Imperative 1,,,Imperative-1,tqnv,4f53b7257d12a9a9e38efc69565be267,
הַזמינו,,,Imperative 1,,,Imperative-1,hazmynv,96166516e7067576c52dcfb052200a55,
תקני,,,Imperative 1,,,Imperative-1,tqny,79a38e12101d1436ef6de6a37b1bbc18,
התכונני,,,Imperative 1,,,Imperative-1,htkvnny,882fed7eb1255d94cb8cf11af67ed0fc,
תקן,"Fix!, Repair! (Piel)",taken,Imperative 1,,"Fix!, Repair! (Piel)",Imperative-1,tqn,d0145018f5b222416f46d9cf0b86f2b7,
ברך,Bless! (Piel),barekh,Imperative 1,,Bless! (Piel),Imperative-1,brk,137395b0b2aaa459c5a7965f3845e461,
הרגישו,,,Imperative 1,,,Imperative-1,hrgyshv,322012545a57c7dc3b1cef4edd3b4454,
התכוננו,,,Imperative 1,,,Imperative-1,htkvnnv,a0e4c8e151a3345666db4dbae2574fe3,
התקלח,Take A Shower! (Hitpael),hit'kaleakh,Imperative 1,,Take A Shower! (Hitpael),Imperative-1,htqlkh,1827f7f6f7edce34ff106b996aeb88cc,
התפללי,,,Imperative 1,,,Imperative-1,htplly,1761b2e924d8dce8ffbd935482db7026,
רחמי,,,Imperative 1,,,Imperative-1,rkhmy,eb7e144aec0ae6235ac7b26a43352825,
ברד,Hail,barad,Weather,,Hail,Weather,brd,a4fff5d01d8fb0d418613e3423272e54,
מעלות,degrees,ma'alah ma'alot,Weather,degrees,Degree,Weather,m`lvt,060430f3a9617adc41cce0f37867188a,
האובך,,,Weather,,,Weather,hvbk,682a3d4d28d0b1fd643abf6dcbe2d5e9,
מטפטפת,"Dripping, Drizzling (Gerund)",m'taf'tefet,Weather,,"Dripping, Drizzling (Gerund)",Weather,mtptpt,5ae5780f65e6b4531165ec64e049397d,
הרעם,,,Weather,,,Weather,hr`m,67ccfb8a445697091101f59254a32c78,
גל הקור,,,Weather,,,Weather,gl hqvr,95fd111f38eec79d1c59c5b59d740e3f,
ורעמים,,,Weather,,,Weather,vr`mym,05408d5950641c32fb51edf1d12b568a,
מטפטף,,,Weather,,,Weather,mtptp,2256c71f0d12b677b1ec1fe6e9660c6f,
מטאור,Meteor,mete'or mete'orim,Outer Space,,Meteor,The-Outer-Space,mtvr,e10eb18d1aa8225eed6ffd3136ab830d,
חור שחור,,,Outer Space,,,The-Outer-Space,khvr shkhvr,a23eece0284566fa05f3e58e1829dff1,
לצדק,,,Outer Space,,,The-Outer-Space,ltsdq,62a4568d5b1e9a4ee316cfc8f8fbb12c,
במסלול,,,Outer Space,,,The-Outer-Space,bmslvl,f06c1cc190f27d63d9f1e3cd518d7e03,3ff8808f1ac7c65a0550a2e956ccb925
מסטיק,Gum,mastik mastikim,Food 2,,Gum,Food-2,mstyq,8bd473680d71a4900a6e689a56ec5e25,
המצרכים,the ingredients,,Food 2,the ingredients,,Food-2,hmtsrkym,33ecbda1e7dfd6053be353fd6746cd26,
מפית,Napkin,mapit mapiyot,Food 2,,Napkin,Food-2,mpyt,3b66469bc8afe82ec0fc3d28e11476d3,
סיר,Pot,sir sirim,Food 2,,Pot,Food-2,syr,7d32a3679b8c266d9113c677ab1eea4b,
התגלח,,,Verbs: Past Active 2,,,Verbs:-Past-Active-2,htglkh,9cf1d8abc9740a3e96ece39ff4655504,
המשכתי,,,Verbs: Past Active 2,,,Verbs:-Past-Active-2,hmshkty,893920e666a3ce6c3c2963371b6aa63c,
והמשיך,,,Verbs: Past Active 2,,,Verbs:-Past-Active-2,vhmshyk,4b20c4c5bce0f255fa599456bbf70bef,
הפגישה,,,Business,,,Business,hpgyshh,e6b8aa95d666aa88ab8fa711ce0e609b,
פגישה,Meeting,p'gishah p'gishot,Business,,Meeting,Business,pgyshh,59962c2a05567c36c2bef02ab4e490ed,
ראיון,,,Business,,,Business,ryvn,1694ca8f262f33dac24ab8db294e9b8a,
אגורות,Agora,agorah agorot,Business,,Agora,Business,gvrvt,a1a905d15a2e2ada8853206b31efbb3a,
הקידום,,,Business,,,Business,hqydvm,7463867b0ec473da66582ed5a84d750a,
הארגונים,,,Business,,,Business,hrgvnym,d5979313d8c7430ce089cc46e547db2c,
ראיונות,Interview,re'ayon ra'ayonot,Business,,Interview,Business,ryvnvt,56ff74f709627e5132a2c49e9f13e7d6,
קצת,A Bit,k'tzat,Dates and Time,,A Bit,Dates-and-Time,qtst,7eacddc129ac20c250601896ddc80836,
חצות,Midnight,khatzot,Dates and Time,,Midnight,Dates-and-Time,khtsvt,ad02c65e8c47480c38cbc02ac94f32f2,
בנובמבר,in November,,Dates and Time,in November,,Dates-and-Time,bnvbmbr,2866673d626477fd98d646b1dcaf6a8a,
נובמבר,November,november,Dates and Time,,November,Dates-and-Time,nvbmbr,514dc7352d0c4dc29e81ff605510a3f0,
ודצמבר,,,Dates and Time,,,Dates-and-Time,vdtsmbr,9f02d10f0befb9794543e574647c2879,
בחצות,,,Dates and Time,,,Dates-and-Time,bkhtsvt,b54fe8b8d7e81e29aafbaf81bfbd5810,
מאי,May,ma'i,Dates and Time,,May,Dates-and-Time,my,62e596af5a682d05db86dbdd2d564f42,
מרץ,March,mertz,Dates and Time,,March,Dates-and-Time,mrts,8c01ea7d07aa34fac90eb8b03bffd483,
ואוקטובר,,,Dates and Time,,,Dates-and-Time,vvqtvbr,8967de2d815f4459269ad5dd020af92d,
ביוני,,,Dates and Time,,,Dates-and-Time,byvny,44a75727ac045045990bdd7219ba5f4f,
אוקטובר,October,ok'tober,Dates and Time,,October,Dates-and-Time,vqtvbr,7e487cc8f862d808e56d0e961c44fdd3,
ערפד,Vampire,ar'pad ar'padim,Legends,,Vampire,Legends,`rpd,5ff8ae533596d593dd49880e9b049e9c,
המפלצת,,,Legends,,,Legends,hmpltst,b17ec47cb3915ba01cd3ada7bb462a3d,
איש זאב,,,Legends,,,Legends,ysh zb,6cefd04f0359a62a2b6da4f6d98e2b6c,
הקללות,,,Legends,,,Legends,hqllvt,16ecc9c706dcefeb00eb0e214739f85b,
ביצורים,,,Legends,,,Legends,bytsvrym,0e0c35f26a560971d6c80f4feb541d15,
יצור,Creature,y'tzur y'tzurim,Legends,,Creature,Legends,ytsvr,bb9a363c9cb17c5fb5bddc051eb7d17d,
איש הזאב,,,Legends,,,Legends,ysh hzb,e24daa5409973b9297164059dedab015,
הדרקון,,,Legends,,,Legends,hdrqvn,f1ceeb38e8208f9a3045dfe01421e513,
חוטים,String; Wire,khut khutim,Objects,,String; Wire,Objects,khvtym,21f5654a2df8e177f0ccbe3950d9be42,
החוט,,,Objects,,,Objects,hkhvt,9fba4f20d9abfe478b2e2bdf26a256e8,
הביטוח,,,Business,,,Business,hbytvkh,177d30d54824262a03193614ddf03def,
כרטיס,business card / card / ticket,kar'tis kar'tisim,Business,business card / card / ticket,Ticket; Card,Business,krtys,cec03f68bd188e4b1b28fa544b7f0afa,
מותגים,Brand,mutag mutagim,Business,,Brand,Business,mvtgym,7ece95bd25d069d97a21f9b37f4cce27,
שהעלות,,,Business,,,Business,shh`lvt,822ed8935293c0f656fa14036e2db55b,
העלות,,,Business,,,Business,h`lvt,d17c97cb9eba6c610c61e1c2cb275291,
המסחר,,,Business,,,Business,hmskhr,6093d76becf399bcefa09bfbe7829c61,
הבורסה,,,Business,,,Business,hbvrsh,141cc4fb2f36dd449ec2f06c835c9ccd,
המחיר,,,Business,,,Business,hmkhyr,c2172d746c8dc2bd2d12334e7447032a,
פרסום,Advertisement,pir'sum pir'sumim,Business,,Advertisement,Business,prsvm,3b63e930b1aa0e1a76fdc8ff925ae4e3,
שהמותג,,,Business,,,Business,shhmvtg,79901e98e2b430aebe5f2b11ad4db786,
הפרסום,,,Business,,,Business,hprsvm,51668eb15bbc7d0e5c2f37a7430db08f,
נאכל,We,nokhal,Past Nif'al,,We,Verbs:-Past-Nifal,nkl,39794f1c7c4f5cfbfb2c5c9e95cfaa42,
נשלחתי,,,Past Nif'al,,,Verbs:-Past-Nifal,nshlkhty,013f7d7171f899f7b6d24cf175b476ff,
נגמר,ended / finished / over,nig'mar,Past Nif'al,ended / finished / over,"Finished, Came To an End",Verbs:-Past-Nifal,ngmr,ba1c0a618c388b4a567cfde246f02b54,6a08f00e608fc6c72150a45c921dbb9d
נאכלה,,,Past Nif'al,,,Verbs:-Past-Nifal,nklh,6975b12f89ab41ba76f336dcdf1d448b,
נקראו,,,Past Nif'al,,,Verbs:-Past-Nifal,nqrv,4f0f7e72cc68013cb86ecb0067404901,
נאבדה,was lost,,Past Nif'al,was lost,,Verbs:-Past-Nifal,nbdh,3f464241aa2b0a3e8efc2a972d001ae7,
נשמעו,,,Past Nif'al,,,Verbs:-Past-Nifal,nshm`v,8df7218373bfa08edd518ab4946de9fd,
ועדיין,,,Past Nif'al,,,Verbs:-Past-Nifal,v`dyyn,c5f64d12f65fd922896ef5e351a3784e,
חלום,Dream,khalom khalomot,Medical,,Dream,Medical,khlvm,5e98572efd687485f855add4c080c8b8,
אצבעות,fingers,etz'ba etz'ba'ot,Medical,fingers,Finger,Medical,tsb`vt,fd728c88aed934bf3e6c3b4b25819e5f,
חלומות,Dream,khalom khalomot,Medical,,Dream,Medical,khlvmvt,e053c2767c245effe65e40e3f48f7df8,
איברים,Organ,eivar eivarim,Medical,,Organ,Medical,ybrym,2e46b81b5e910e49f312532edecc43c3,
סרטן,Crab,sar'tan sar'tanim,Medical,,Crab,Medical,srtn,688e646b4da388715a936d8056db35bd,92c4e148b20140c37dc894ebdb994833
כתפיים,shoulders,katef k'tafayim,Medical,shoulders,Shoulder,Medical,ktpyym,c038aff3ca2aba67d71090c6a4cc8b95,
הלידות,,,Medical,,,Medical,hlydvt,69763e8a82da13679201c2b366778466,
גב,Backpack,tik gav tiki gav,Medical,,Backpack,Medical,gb,f0d3deb8b721370dbe98b986a9d4aabc,
האיברים,,,Medical,,,Medical,hybrym,876f395fbbe0c6a4c14683fec7f3f5f0,
העיניים,,,Medical,,,Medical,h`ynyym,cf0b6c85ba57d30a073e904bdbb8f096,
מצפָה,,,Feelings,,,Feelings,mtspah,96ef3951e9aeef79bd0d0c3592ad6331,
מנשקים,,,Feelings,,,Feelings,mnshqym,61ae58e25d16c64eef3576c7a2955c62,
מצפֶה,expect / look forward to,,Feelings,expect / look forward to,,Feelings,mtspeh,8203a8b20fbf621e982e5ef9c55c20cd,
מנחמת,,,Feelings,,,Feelings,mnkhmt,ba77774e4618aefe24baa3734c534d6e,
עוינים,,,Feelings,,,Feelings,`vynym,78c4877c4f5d7b4275f870a9cb866a4a,
רגישה,,,Feelings,,,Feelings,rgyshh,ea3f3eaa258d6340c0214a3bb1b3679e,
לנחם,"To Comfort, Console (Piel)",l'nakhem,Feelings,,"To Comfort, Console (Piel)",Feelings,lnkhm,88126d0496f6694f4c54045e97f4092c,
מנשק,,,Feelings,,,Feelings,mnshq,8b7caed3020fbdf633699f4a2f97dc9b,
בודד,"Lonely, Single",boded,Feelings,,"Lonely, Single",Feelings,bvdd,f0681158e9c5b6f83d50f05a9a064d62,
נעלב,,,Feelings,,,Feelings,n`lb,b458a73d1282b3a9f5d94c7f6028c6c8,
עוין,Hostile (m.s),oyen,Feelings,,Hostile (m.s),Feelings,`vyn,03900ef587245466ed972e9202b8c25b,
רגיש,"Sensitive, Emotional (m.s)",ragish,Feelings,,"Sensitive, Emotional (m.s)",Feelings,rgysh,c6e2569609caf4280af4e8bc1c0ff3c3,
מתלהבים,,,Feelings,,,Feelings,mtlhbym,03a37575f29428d45d64208baaf6aa65,
צילום,Photography,tzilum tzilumim,Arts,,Photography,Arts,tsylvm,3e47ec886c14bde132e59e70d6899452,
האפקטים,,,Arts,,,Arts,hpqtym,22085a99e1aee7fecdda047c7bbb2869,
הדמות,,,Arts,,,Arts,hdmvt,8c95524622c0b0d27456dc1e1664e19b,
המצלמה,,,Arts,,,Arts,hmtslmh,d8b8fc4236fa8a95a1090dcc5bcfdf13,
להסכם,,,Abstract Objects 1,,,Abstract-Objects-1,lhskm,760ae4be18f9e78012a6dad39578d79e,
ייצור,"Manufacturing, Production",yitzur yitzurim,Abstract Objects 1,,"Manufacturing, Production",Abstract-Objects-1,yytsvr,ee7d9a2d99f1408c11d651b70f585abd,
חלופה,Alternative,khalufah khalufot,Abstract Objects 1,,Alternative,Abstract-Objects-1,khlvph,7b8ad67809d20f06f97928958e7241f4,
מההסכם,,,Abstract Objects 1,,,Abstract-Objects-1,mhhskm,7b05d56bbb00be308a92ea541424d851,
הייצור,,,Abstract Objects 1,,,Abstract-Objects-1,hyytsvr,ca1c58102ca4ca93a1e8d18370eeef5d,
תגובה,Response,t'guvah t'guvot,Abstract Objects 1,,Response,Abstract-Objects-1,tgvbh,8c0cf26dc59548a4687db77bfb5ce3fe,
רמה,Level,ramah ramot,Abstract Objects 1,,Level,Abstract-Objects-1,rmh,4a4c6205d29debc2b2eee4f6a1288fd7,
התגובות,,,Abstract Objects 1,,,Abstract-Objects-1,htgvbvt,f088bc2d6199eabb9f1b8ca114920620,
התיאור,,,Abstract Objects 1,,,Abstract-Objects-1,htyvr,2a6680ef8d0871c4843da7723c3e1472,
בצד,,,Abstract Objects 1,,,Abstract-Objects-1,btsd,69348c165f588156521e7361ed123da2,
המערכת,,,Abstract Objects 1,,,Abstract-Objects-1,hm`rkt,5803017ed95aeabbd1c1016a080ec0e3,
חודשי,Monthly,khod'shi,Adjectives 3,,Monthly,Adjectives-3,khvdshy,07fe2fe1ff5e7d7b5dcf802b2e5495ab,
השבועית,,,Adjectives 3,,,Adjectives-3,hshbv`yt,69bfe20aac76003b0348e546084b4623,
החודשית,,,Adjectives 3,,,Adjectives-3,hkhvdshyt,e709505816bb4c5030b3c7f00a81b0c6,
מטומטמת,,,Adjectives 3,,,Adjectives-3,mtvmtmt,04834f4bfb89ccc03a7f9a81345672e3,
התחתונה,,,Adjectives 3,,,Adjectives-3,htkhtvnh,8963b9dfa39992215b775347e344464d,
צר,Narrow,tzar,Adjectives 3,,Narrow,Adjectives-3,tsr,0330cc12b4f4775c4ddad88fc7499a67,
עמוקים,,,Adjectives 3,,,Adjectives-3,`mvqym,11f376cd84c8e5ef4de88d0446e88058,
ההיסטורי,historic / historical,,Adjectives 3,historic / historical,,Adjectives-3,hhystvry,fba5d0c36978c36d4881053a5a758e90,
אישי,Personal,ishi,Adjectives 3,,Personal,Adjectives-3,yshy,71c5ac4b20a1353732506b4173640b90,
מטומטם,Dumb,m'tum'tam,Adjectives 3,,Dumb,Adjectives-3,mtvmtm,a485bf179aebc3607268affbfb697e4b,
עמוק,Deep,amok,Adjectives 3,,Deep,Adjectives-3,`mvq,a92b7cc521c6c2f812dba33b3670bc69,
העמוק,,,Adjectives 3,,,Adjectives-3,h`mvq,412510319e4588b2865d0893bbef014d,
להתאושש,to recover,l'hit'oshesh,Infinitives 2,to recover,"To Recover, Regain Strength (Hitpael)",Verbs:-Infinitives-2,lhtvshsh,9e174d51ed250898e3ad9c43285dc7cf,
לחשוב,Think (Qal),lakh'shov,Infinitives 2,,Think (Qal),Verbs:-Infinitives-2,lkhshvb,dab966c1fd8aa19418531f50004d9c1a,
להשתמש,To Use (b-) (Hitpael),l'hish'tamesh (b-),Infinitives 2,,To Use (b-) (Hitpael),Verbs:-Infinitives-2,lhshtmsh,86b12807f1098e5db29f09136e160869,
התאוששתי,,,Verbs: Past Active 2,,,Verbs:-Past-Active-2,htvshshty,49bbdee5538eb1119135e0b6bc453af1,
התחבא,Hide! (Hitpael),hit'khabe,Verbs: Past Active 2,,Hide! (Hitpael),Verbs:-Past-Active-2,htkhb,56d854c171f943f3bb93f86ac609ccc9,072c9196f5a9ab266a70684b814b7943
התעלפה,,,Verbs: Past Active 2,,,Verbs:-Past-Active-2,ht`lph,b690815ecceda9e0772aebb8b7c665ac,
התיעצנו,,,Verbs: Past Active 2,,,Verbs:-Past-Active-2,hty`tsnv,27c3c64ebdef04318c30288f8277c646,
התעלפתי,,,Verbs: Past Active 2,,,Verbs:-Past-Active-2,ht`lpty,d3c4402d63ace9cfe01368b87228770e,
התאוששו,,,Verbs: Past Active 2,,,Verbs:-Past-Active-2,htvshshv,34e67cfdcb6579389a4f4fd34acfe601,
התפשט,,,Verbs: Past Active 2,,,Verbs:-Past-Active-2,htpsht,0e1f31a9937d67afab6d7e7f72d1b5ff,
התעלף,,,Verbs: Past Active 2,,,Verbs:-Past-Active-2,ht`lp,ea9806b6df504bca2547b86c1f875237,
התפוצצו,,,Verbs: Past Active 2,,,Verbs:-Past-Active-2,htpvtstsv,4fe628ef478c2c10629e457cd051cf2e,
התנדבה,,,Verbs: Past Active 2,,,Verbs:-Past-Active-2,htndbh,e0329859e971ccc827766595efcf7451,
התיעצתי,,,Verbs: Past Active 2,,,Verbs:-Past-Active-2,hty`tsty,7492e7c323afb832b8d9b323e6ae80a8,
נוגע,M.S.,noge'a b-,Verbs: Present - Pa'al,,M.S.,Verbs:-Present1,nvg`,445c09d88f1ef215d74eee835789c661,
עונות,F.P.,onot,Verbs: Present - Pa'al,,F.P.,Verbs:-Present1,`vnvt,4ccd29eceba42a14adf5b80cf8e5b739,
שוכר,M.S.,sokher,Verbs: Present - Pa'al,,M.S.,Verbs:-Present1,shvkr,7ddf099369e67cc7f0701b96def34dc2,
שובר,M.S.,shover,Verbs: Present - Pa'al,,M.S.,Verbs:-Present1,shvbr,b5b86f6f5c12a9ada33b42ae80dc6f71,
בוהות,F.P.,bohot,Verbs: Present - Pa'al,,F.P.,Verbs:-Present1,bvhvt,7bcef2fd4e5ab5e98f88ef07e68aa072,
שוברים,M.P.,shov'rim,Verbs: Present - Pa'al,,M.P.,Verbs:-Present1,shvbrym,7c74c82ae5b856ed2e852eaaf86f9ee9,
עונֶה,M.S.,oneh,Verbs: Present - Pa'al,,M.S.,Verbs:-Present1,`vneh,942e9365fce96bf338a004be58fa8241,32abee0bd48ce50480deee5e9497c7cf
שוברת,F.S.,shoveret,Verbs: Present - Pa'al,,F.S.,Verbs:-Present1,shvbrt,7a8f505733d94b310678007e82abf76c,
גונבת,F.S.,gonevet,Verbs: Present - Pa'al,,F.S.,Verbs:-Present1,gvnbt,6842c67bf307de1f61c7154a7a152979,
וכואב,,,Verbs: Present - Pa'al,,,Verbs:-Present1,vkvb,5878f379afb05b3a641c07be063017a7,
בוהים,M.P.,bohim,Verbs: Present - Pa'al,,M.P.,Verbs:-Present1,bvhym,da498f25b97e8f7a415bd44f6dff4549,
למסה,to the mass,,Science,to the mass,,Science,lmsh,8c0a5b40380814944b5e46539d83bd15,
מנמיכים,,,Science,,,Science,mnmykym,3ffb640d2d4d60e676ece3ba1089cdb3,
מדע,Science,mada mada'im,Science,,Science,Science,md`,f5d5704241293774b0acdcc9a146ea38,
מנמיך,,,Science,,,Science,mnmyk,753bcdbe139ab36719b7d6cae726ea3f,
הטכנולוגיה,,,Science,,,Science,htknvlvgyh,b20b37b8d3c8d348ef5329ecf62e9afe,
הסיבה,,,Science,,,Science,hsybh,bb345722740160e936cdf92db8cab746,
בפילוסופיה,,,Science,,,Science,bpylvsvpyh,f3944dc20e4aefe42753279a570f749a,
סיבות,"Reason, Motive",sibah sibot,Science,,"Reason, Motive",Science,sybvt,66c71c30ab8fc823d5b79e4f6a0fe459,
פילוסופיה,Philosophy,filosof'yah,Science,,Philosophy,Science,pylvsvpyh,78959977d9d50b098a8aa5de0f53d766,
מסה,Mass,masah masot,Science,,Mass,Science,msh,726e645033f274dfd197f5690ee8e7a4,
מחצבים,Mineral,makh'tzav makh'tzabim,Science,,Mineral,Science,mkhtsbym,7afa07c41b7d9eca7f934c15066b916c,
רגיל,"Regular, Ordinary",ragil,Adjectives 2,,"Regular, Ordinary",Adjectives-2,rgyl,1a416f821ae9396d9531ca53148fbb67,
אפשרי,Possible,ef'shari,Adjectives 2,,Possible,Adjectives-2,pshry,bfeaf77f2efe94c4e945380914d7afe2,
צבאי,Military,tz'va'i,Adjectives 2,,Military,Adjectives-2,tsby,78d4bf4f133f313703d6822bd1c595e3,
זולה,,,Adjectives 2,,,Adjectives-2,zvlh,3ecd3f1f4cf63ab9310ed47cbfeb7bcd,
אחראית,,,Adjectives 2,,,Adjectives-2,khryt,ef9e339432cce1d2c7acc1296567d24b,
זול,Cheap,zol,Adjectives 2,,Cheap,Adjectives-2,zvl,e988127661c4113005aa253ac25f9bb1,
הרזֶה,,,Adjectives 2,,,Adjectives-2,hrzeh,395b48fe7faaca514ad7b0e4549d3eac,
רגילה,,,Adjectives 2,,,Adjectives-2,rgylh,bb8d15d774c677dc50bb0544e4a1935e,
רזָה,Thin,razeh,Adjectives 2,,Thin,Adjectives-2,rzah,4cfc9c3f64f9bc292dffa58416feb568,
הסתפר,Cut Hair! (Hitpael),his'taper,Imperative 1,,Cut Hair! (Hitpael),Imperative-1,hstpr,e37a344077223005601de2258ed8d813,
החזירי,,,Imperative 1,,,Imperative-1,hkhzyry,9129df38dd3adc5ba748c440193959b8,
הסתפרו,,,Imperative 1,,,Imperative-1,hstprv,7fa84e1a97e78bb335008c4f28926252,
הצטרפי,,,Imperative 1,,,Imperative-1,htstrpy,1ea9059fb9ccfc2c5504bb5eb1676d60,
התחילי,,,Imperative 1,,,Imperative-1,htkhyly,65bcb9906358fe2345f2bd8fe42a1c1a,
הצטרף,Join! (Group/Organisation) (Hitpael),hitz'taref,Imperative 1,,Join! (Group/Organisation) (Hitpael),Imperative-1,htstrp,7f203782b9b38f00ed110f390dd5e31e,
טוסי,,,Imperative 1,,,Imperative-1,tvsy,8df4e8a8edacc7db0c7e9e3bc42c9b2c,
הוסף,Add! (Hifil),hosef,Imperative 1,,Add! (Hifil),Imperative-1,hvsp,eaa895771457cff398db030f72f838d8,
טוסו,,,Imperative 1,,,Imperative-1,tvsv,040e65c76357191647d65fc211f2a975,
סַיימי,,,Imperative 1,,,Imperative-1,sayymy,05e07e7ee340e692038c2500f24c492f,
הוסיפי,,,Imperative 1,,,Imperative-1,hvsypy,73957e47b9be04fa7d2bb4a43b8e2725,
אחריה,,,Prepositions 2,,,Prepositions-2,khryh,86438fc12b8a87ec774ca4f0a00ec8db,
לפניך,,,Prepositions 2,,,Prepositions-2,lpnyk,29e63daa90d5246ab8d6fc8a44ac9dfa,
עליה,,,Prepositions 2,,,Prepositions-2,`lyh,2785088ef8ace881a0fdb21c34644c5b,
לפניי,,,Prepositions 2,,,Prepositions-2,lpnyy,29302ac4f4e4a6c57bfd9c238216b22e,
טובע,,,Emergency!,,,Emergency!,tvb`,73a023a5338c232c0eeeb4e518a02d50,
טובעת,,,Emergency!,,,Emergency!,tvb`t,d799caa7bc5a7cc0587667962e3d367b,
עומק,,,Geometry,,,Geometry,`vmq,1f7c441e392e356f7ac6abf5a04fbea1,
מילימטר,Millimeter,milimeter milimet'rim,Geometry,,Millimeter,Geometry,mylymtr,a7fb26ceac3a7a63a75b41568fa21187,
מילימטרים,Millimeter,milimeter milimet'rim,Geometry,,Millimeter,Geometry,mylymtrym,8a1eaf16a420e626e0d83cc28505decd,
אמרנו,,,Verbs: Past Active 1,,,Verbs:-Past-Active,mrnv,fd888fea15148f28a708b648ee619a6f,
הכירו,,,Verbs: Past Active 1,,,Verbs:-Past-Active,hkyrv,bda0e86604b7186eaa718ac66fa33d14,
הראה,"Showed, Demonstrated (3.m.s) (Hifil)",hir'ah,Verbs: Past Active 1,,"Showed, Demonstrated (3.m.s) (Hifil)",Verbs:-Past-Active,hrh,b7559d354234e9bb44f6dbf839ff481b,
לגבר,,,Verbs: Past Active 1,,,Verbs:-Past-Active,lgbr,53bc904f94b7c32c568cab9644fc2c09,
הייתְ,You Were (2.m.s) Qal),hayita,Verbs: Past Active 1,,You Were (2.m.s) Qal),Verbs:-Past-Active,hyyt@,d1a05e125960f2de3a835b8baf844dc3,82df4bb3c50b982b814a51845f0b7c69
הייתה לנו,,,Verbs: Past Active 1,,,Verbs:-Past-Active,hyyth lnv,1a7a27bc8f44d19aa9303943f3b2e148,
הפכנו,,,Verbs: Past Active 1,,,Verbs:-Past-Active,hpknv,f59a974029f0e332df58cbe0e1bdd668,
הפך,became / has become / turned (into),,Verbs: Past Active 1,became / has become / turned (into),,Verbs:-Past-Active,hpk,cce7c5442f72b75573ebec8d21cb580b,
חיכיתם,,,Verbs: Past Active 1,,,Verbs:-Past-Active,khykytm,44392749d5699bdb39045b931b0730b2,
חיכינו,,,Verbs: Past Active 1,,,Verbs:-Past-Active,khykynv,dc5486cae344f0052841633190b27ebf,
הכרתְ,,,Verbs: Past Active 1,,,Verbs:-Past-Active,hkrt@,b0e5925dcc422078889585ad520c65eb,
הראתה,,,Verbs: Past Active 1,,,Verbs:-Past-Active,hrth,8a1ed50cf03e0f071b17b511bcdb3614,
רצנו,,,Verbs: Past Active 1,,,Verbs:-Past-Active,rtsnv,a22e5d79edb37c1fe7ff196c0200b03a,
הקשבנו,,,Verbs: Past Active 1,,,Verbs:-Past-Active,hqshbnv,8b6b43ff5eb91f94f636fee6d5773540,
רץ,did run / is running / run,ratz,Verbs: Past Active 1,did run / is running / run,M.S.,Verbs:-Past-Active,rts,e8c05161ae991ac0fc8807caff22b1b8,
גדַל,M.S.,gadel,Verbs: Past Active 1,,M.S.,Verbs:-Past-Active,gdal,8ae8d8362a79c490af01f6b5720d083c,
אי פעם,,,Verbs: Past Active 1,,,Verbs:-Past-Active,y p`m,0eecdbce6a293ee28ffcb5dff9f4e016,
ביקש,"Asked, Requested (3.m.s) (Piel)",bikesh,Verbs: Past Active 1,,"Asked, Requested (3.m.s) (Piel)",Verbs:-Past-Active,byqsh,66d6a6e5f090771491c06245809a705a,
שאי פעם,,,Verbs: Past Active 1,,,Verbs:-Past-Active,shy p`m,eb818a6f7ae7a8e888dbb9b447471cee,
גדלתי,,,Verbs: Past Active 1,,,Verbs:-Past-Active,gdlty,909087cc5d42dd16239d7cac1620c28f,
קראתי,,,Verbs: Past Active 1,,,Verbs:-Past-Active,qrty,91ce27f52b3518eff0f8107883a3b371,
הקשיבה,,,Verbs: Past Active 1,,,Verbs:-Past-Active,hqshybh,73a7b4f5a84d43934c10f209142e4d4d,
היו לו,,,Verbs: Past Active 1,,,Verbs:-Past-Active,hyv lv,443b6732f1380b69326fffea10e1c74c,
קרא,"Read (b-), Call (l-) (3.m.s) (Qal)","kara (b-), (l-)",Verbs: Past Active 1,,"Read (b-), Call (l-) (3.m.s) (Qal)",Verbs:-Past-Active,qr,014967941b697df177ff0ff357ea0a56,
